id,name,buy,sell,supply,demand
121,"Cleric's Sneakthief Mask of Rage",7206,11098,27,63
123,"Zho's Mask",7337,9983,324,64
125,"Nika's Coat",45705,63333,75,133
126,"Strong Worn Chain Greaves",173,243,60,734
128,"Berserker's Seer Coat of the Rata Sum",6404,9316,246,98
129,"Strong Worn Scale Boots",175,197,184,632
131,"Khilbron's Coat",9101,13558,330,134
132,"Mighty Country Coat",240,438,59,1170
133,"Berserker's Sneakthief Mask of the Flame Legion",6211,9280,339,48
134,"Strong Worn Scale Boots",167,200,163,182
135,"Mighty Country Coat",260,653,243,1261
136,"Vatlaaw's Mask",9141,12081,113,50
137,"Mighty Country Coat",311,471,332,1085
138,"Mighty Swindler Mask",114,294,1640,1997
139,"Carrion Sneakthief Coat of Mercy",27268,39864,17,96
140,"Strong Worn Scale Boots",176,207,155,198
141,"Mighty Swindler Mask",65,165,171,1791
142,"Precise Country Coat",204,300,124,748
143,"Carrion Sneakthief Coat of the Dolyak",16569,20989,213,80
144,"Precise Country Coat",238,286,155,1193
145,"Precise Swindler Mask",46,243,140,474
146,"Precise Country Coat",284,440,110,609
147,"Precise Swindler Mask",53,229,121,640
148,"Mighty Worn Chain Greaves",41,84,1043,5777
149,"Vital Country Coat",220,298,99,1694
150,"Vital Country Coat",226,475,83,1261
151,"Carrion Sneakthief Coat of Hoelbrak",33993,44489,30,153
152,"Precise Worn Chain Greaves",93,126,153,1435
153,"Vital Swindler Mask",90,194,132,1141
154,"Vital Country Coat",314,490,71,1093
155,"Shiro's Coat",9010,11000,373,71
156,"Vital Swindler Mask",80,180,46,929
157,"Malign Country Coat",213,330,155,1128
158,"Precise Worn Chain Greaves",107,180,92,644
159,"Malign Swindler Mask",64,120,103,432
160,"Malign Swindler Mask",62,148,69,943
161,"Malign Country Coat",273,450,235,736
162,"Berserker's Sneakthief Sandals of the Dolyak",45502,75007,16,222
163,"Malign Country Coat",340,925,35,834
164,"Precise Worn Chain Greaves",96,191,172,721
165,"Strong Country Coat",705,1000,47,597
166,"Strong Swindler Mask",76,125,185,560
167,"Ravaging Worn Chain Greaves",81,200,109,676
168,"Rampager's Sneakthief Coat of the Pack",39046,67950,16,112
169,"Strong Swindler Mask",71,122,90,464
170,"Strong Country Coat",694,999,37,498
171,"Berserker's Sneakthief Sandals of Dwayna",6112,10799,99,49
172,"Strong Magician Coat",583,871,70,369
173,"Strong Swindler Mask",88,165,436,734
174,"Strong Magician Coat",518,683,139,325
175,"Ravaging Worn Chain Greaves",171,195,81,631
176,"Strong Swindler Mask",124,244,107,301
177,"Ravaging Country Coat",614,996,64,635
178,"Rampager's Sneakthief Coat of Vampirism",50363,74990,11,212
179,"Ravaging Swindler Mask",62,356,58,555
180,"Ravaging Country Coat",710,910,83,543
181,"Ravaging Worn Scale Boots",167,235,156,592
182,"Ravaging Swindler Mask",100,200,66,863
183,"Aidan's Coat",31403,45095,67,334
184,"Ravaging Magician Coat",595,949,57,452
185,"Ravaging Swindler Mask",100,889,20,798
186,"Ravaging Magician Coat",523,698,168,708
187,"Ravaging Worn Scale Boots",168,237,171,381
188,"Berserker's Sneakthief Sandals of the Citadel",4112,9298,300,93
189,"Ravaging Swindler Mask",124,225,47,201
190,"Honed Country Coat",664,965,46,457
191,"Shaman's Sneakthief Coat of the Centaur",11151,25976,14,72
192,"Honed Country Coat",652,800,53,496
193,"Ravaging Worn Scale Boots",174,210,82,199
194,"Honed Swindler Mask",77,593,60,667
195,"Honed Magician Coat",567,933,111,478
196,"Shaman's Sneakthief Coat of the Centaur",10241,20000,8,30
197,"Honed Swindler Mask",78,190,167,630
198,"Honed Magician Coat",516,630,260,544
199,"Ravaging Worn Scale Boots",172,200,173,83
200,"Honed Swindler Mask",88,184,84,1163
201,"Honed Swindler Mask",115,219,129,563
202,"Ravaging Country Coat",678,1000,46,611
203,"Reyna's Coat",78034,82199,49,88
204,"Ravaging Country Coat",680,970,65,459
205,"Ravaging Swindler Mask",79,360,107,1348
206,"Ravaging Worn Scale Boots",167,197,45,166
207,"Ravaging Magician Coat",523,630,90,580
208,"Nika's Boots",44404,57900,37,78
209,"Ravaging Worn Scale Boots",134,200,119,633
210,"Cleric's Sneakthief Coat of the Flame Legion",10232,22299,15,42
211,"Ravaging Magician Coat",524,608,164,540
212,"Ravaging Swindler Mask",90,162,108,472
213,"Strong Magician Coat",531,615,153,675
214,"Ravaging Swindler Mask",101,216,141,152
215,"Carrion Reinforced Scale Boots",128,185,126,322
216,"Cleric's Sneakthief Coat of Vampirism",8889,21990,13,47
217,"Strong Magician Coat",559,960,69,238
218,"Ravaging Swindler Mask",120,241,117,208
219,"Strong Magician Coat",1313,1522,178,313
220,"Strong Swindler Mask",103,202,183,206
221,"Strong Magician Coat",1272,1470,113,415
222,"Carrion Reinforced Scale Boots",77,288,164,151
223,"Zho's Coat",6648,9586,145,115
224,"Strong Swindler Mask",136,236,140,130
225,"Ravaging Magician Coat",512,611,152,422
226,"Ravaging Magician Coat",515,795,51,282
227,"Carrion Sneakthief Sandals of the Traveler",56637,72617,23,95
228,"Strong Swindler Mask",342,499,202,128
229,"Ravaging Magician Coat",1321,1348,154,219
230,"Carrion Reinforced Scale Boots",83,173,71,1435
231,"Strong Swindler Mask",293,489,154,100
232,"Ravaging Swindler Mask",128,241,160,554
233,"Ravaging Magician Coat",1332,1532,114,123
234,"Honed Magician Coat",549,900,41,354
236,"Ravaging Swindler Mask",122,259,80,164
237,"Carrion Reinforced Scale Boots",80,188,159,1546
239,"Honed Magician Coat",587,898,101,280
240,"Carrion Reinforced Scale Boots",111,150,153,2419
241,"Ravaging Swindler Mask",175,453,195,441
242,"Ravaging Swindler Mask",223,422,101,149
243,"Honed Magician Coat",1317,1525,124,349
244,"Honed Magician Coat",1309,1319,184,109
245,"Carrion Sneakthief Sandals of the Traveler",59400,69195,136,96
246,"Honed Swindler Mask",130,220,155,462
247,"Ravaging Magician Coat",525,1050,76,308
248,"Berserker's Sneakthief Coat of Balthazar",5505,9382,361,82
249,"Ravaging Magician Coat",1236,1336,126,248
250,"Honed Swindler Mask",130,293,164,238
251,"Vatlaaw's Coat",9157,12000,303,79
252,"Vital Worn Chain Greaves",92,175,173,2560
253,"Ravaging Magician Coat",1281,1525,203,300
254,"Honed Swindler Mask",317,455,140,253
255,"Carrion Sneakthief Sandals of the Pack",10608,14442,79,221
256,"Vital Worn Chain Greaves",102,201,79,637
257,"Ravaging Magician Coat",1072,1240,58,429
258,"Honed Swindler Mask",221,298,165,149
259,"Berserker's Cabalist Coat",876,1273,78,253
260,"Mighty Studded Coat",90,285,364,1955
261,"Berserker's Cabalist Coat",454,548,192,287
262,"Ravaging Swindler Mask",134,257,149,601
263,"Mighty Studded Coat",101,380,357,944
264,"Vital Worn Chain Greaves",95,499,29,1358
265,"Berserker's Cabalist Coat",452,518,200,546
266,"Ravaging Swindler Mask",193,420,190,149
267,"Ravaging Swindler Mask",315,444,166,142
268,"Berserker's Cabalist Coat",501,505,586,1579
269,"Berserker's Cabalist Coat",501,505,434,1158
270,"Mighty Studded Coat",64,765,80,192
271,"Ravaging Swindler Mask",196,340,140,341
272,"Honed Worn Chain Greaves",100,200,87,485
273,"Carrion Cabalist Coat",826,1317,158,180
274,"Shiro's Greaves",8667,9996,158,68
275,"Honed Worn Chain Greaves",171,279,100,527
276,"Berserker's Privateer Hat",108,330,153,133
277,"Carrion Cabalist Coat",493,538,188,239
278,"Berserker's Privateer Hat",93,150,186,642
279,"Carrion Cabalist Coat",492,526,210,207
280,"Precise Studded Coat",76,298,535,4098
281,"Carrion Cabalist Coat",501,502,578,1022
282,"Berserker's Privateer Hat",78,178,68,128
283,"Honed Worn Scale Boots",176,207,141,402
284,"Berserker's Privateer Hat",80,135,284,69
285,"Carrion Cabalist Coat",501,505,263,785
286,"Precise Studded Coat",70,275,84,527
287,"Rampager's Cabalist Coat",973,1173,110,213
288,"Honed Worn Scale Boots",176,209,131,191
289,"Berserker's Privateer Hat",97,139,808,568
290,"Rampager's Cabalist Coat",492,515,145,272
291,"Carrion Privateer Hat",171,371,117,80
292,"Honed Worn Scale Boots",175,222,133,227
293,"Precise Studded Coat",99,178,111,675
294,"Carrion Privateer Hat",92,136,87,201
295,"Rampager's Cabalist Coat",455,507,242,136
296,"Honed Worn Scale Boots",175,187,163,311
297,"Rampager's Sneakthief Sandals of the Centaur",10516,17097,38,156
298,"Rampager's Cabalist Coat",501,502,765,1475
299,"Carrion Privateer Hat",93,148,126,678
300,"Vital Studded Coat",80,138,411,2397
301,"Rampager's Cabalist Coat",501,511,475,706
302,"Honed Worn Scale Boots",167,209,116,112
303,"Carrion Privateer Hat",83,132,337,104
304,"Vital Studded Coat",61,123,84,1190
305,"Shaman's Cabalist Coat",411,511,73,205
306,"Shaman's Cabalist Coat",496,513,232,351
307,"Carrion Privateer Hat",90,128,237,196
308,"Honed Worn Scale Boots",143,200,105,262
309,"Rampager's Privateer Hat",111,405,40,89
310,"Vital Studded Coat",68,491,35,359
311,"Shaman's Cabalist Coat",427,507,283,938
312,"Rampager's Privateer Hat",77,187,133,108
313,"Shaman's Cabalist Coat",501,507,588,784
314,"Rampager's Reinforced Scale Boots",79,177,94,449
315,"Rampager's Privateer Hat",0,452,202,0
316,"Rampager's Sneakthief Sandals of Vampirism",15708,43049,11,150
317,"Shaman's Cabalist Coat",501,507,479,625
318,"Malign Studded Coat",64,175,301,1245
319,"Rampager's Privateer Hat",100,135,182,24
320,"Rampager's Reinforced Scale Boots",93,257,43,545
321,"Rampager's Privateer Hat",86,137,654,150
322,"Shaman's Privateer Hat",80,230,114,131
323,"Aidan's Boots",21300,30494,69,156
324,"Malign Studded Coat",70,228,65,350
325,"Rampager's Reinforced Scale Boots",101,200,75,1540
326,"Shaman's Privateer Hat",79,300,80,313
327,"Shaman's Privateer Hat",88,93,167,175
328,"Rampager's Reinforced Scale Boots",75,239,98,2594
329,"Shaman's Privateer Hat",87,124,423,93
330,"Malign Studded Coat",41,400,66,14
331,"Shaman's Privateer Hat",0,148,274,0
332,"Rampager's Reinforced Scale Boots",111,179,385,1715
333,"Strong Studded Coat",108,155,232,925
334,"Shaman's Sneakthief Sandals of the Traveler",60307,81098,11,60
335,"Mighty Worn Chain Greaves",47,600,38,5018
336,"Shaman's Sneakthief Sandals of the Flock",10969,22088,22,36
337,"Strong Studded Coat",91,179,89,502
338,"Malign Worn Chain Greaves",113,149,152,1319
339,"Strong Swindler Coat",88,1349,37,562
340,"Malign Worn Chain Greaves",104,188,228,2578
341,"Malign Worn Chain Greaves",116,190,149,474
342,"Reyna's Boots",78008,81984,24,114
343,"Strong Swindler Coat",200,296,139,449
344,"Ravaging Worn Chain Greaves",170,185,107,168
345,"Ravaging Studded Coat",100,199,94,1223
346,"Ravaging Worn Chain Greaves",178,199,62,1031
347,"Ravaging Worn Scale Boots",174,217,167,504
348,"Ravaging Studded Coat",70,198,109,316
349,"Cleric's Sneakthief Sandals of the Traveler",61025,70535,29,42
350,"Ravaging Worn Scale Boots",176,200,159,278
351,"Ravaging Swindler Coat",104,190,75,534
352,"Ravaging Worn Scale Boots",171,203,85,281
353,"Ravaging Swindler Coat",202,300,152,238
354,"Mighty Magician Coat of the Grove",267,699,237,1994
355,"Cleric's Sneakthief Sandals of the Dolyak",17479,28496,30,47
356,"Ravaging Worn Scale Boots",169,199,157,132
357,"Mighty Magician Coat of Vampirism",522,1004,501,1569
358,"Honed Studded Coat",102,172,67,426
359,"Strong Magician Coat of the Afflicted",633,733,234,1288
360,"Strong Magician Coat of the Flame Legion",666,1088,157,646
361,"Honed Studded Coat",99,200,125,501
362,"Strong Magician Coat of the Flock",528,685,183,628
363,"Ravaging Worn Scale Boots",168,204,142,95
364,"Ravaging Worn Scale Boots",133,199,141,314
365,"Zho's Boots",7567,9993,148,74
366,"Ravaging Magician Coat of the Lich",733,999,133,519
367,"Ravaging Magician Coat of Melandru",593,940,131,744
368,"Strong Cabalist Coat of the Lich",544,796,94,416
369,"Shaman's Reinforced Scale Boots",85,199,68,115
370,"Honed Swindler Coat",99,196,57,296
371,"Strong Cabalist Coat of the Traveler",1321,1600,121,465
372,"Honed Swindler Coat",220,279,143,177
373,"Strong Cabalist Coat of the Lich",1231,1625,85,454
374,"Shaman's Reinforced Scale Boots",104,185,83,758
376,"Ravaging Magician Coat of Vampirism",537,619,236,449
377,"Ravaging Studded Coat",100,170,151,875
378,"Ravaging Cabalist Coat of the Dolyak",626,826,119,591
379,"Shaman's Reinforced Scale Boots",99,164,116,1400
380,"Ravaging Cabalist Coat of Strength",1329,1610,112,410
381,"Shaman's Reinforced Scale Boots",79,94,122,2379
383,"Ravaging Cabalist Coat of the Grove",1354,1554,148,313
384,"Honed Cabalist Coat of the Eagle",600,900,136,236
385,"Ravaging Studded Coat",88,148,163,1191
386,"Mighty Swindler Mask of the Eagle",87,202,329,843
387,"Honed Cabalist Coat of Strength",623,899,95,262
388,"Mighty Swindler Mask of Dwayna",139,293,639,892
389,"Honed Cabalist Coat of the Flock",1370,1649,170,357
390,"Shaman's Reinforced Scale Boots",111,187,106,1735
391,"Ravaging Swindler Coat",195,324,156,404
392,"Strong Swindler Mask of Hoelbrak",103,225,53,1667
393,"Honed Cabalist Coat of Rage",1204,1404,112,384
394,"Ravaging Swindler Coat",182,330,143,143
395,"Mighty Worn Scale Boots of Vampirism",120,230,1118,3771
396,"Ravaging Cabalist Coat of Mercy",1361,1561,135,421
397,"Strong Swindler Mask of Infiltration",114,283,845,1230
398,"Berserker's Sneakthief Sandals of the Grove",5004,9297,316,81
399,"Ravaging Cabalist Coat of the Citadel",1215,1474,161,622
400,"Strong Swindler Mask of the Rata Sum",116,186,124,244
401,"Mighty Worn Scale Boots of Scavenging",151,391,733,1387
402,"Ravaging Swindler Mask of Grenth",120,204,310,1781
403,"Berserker's Cabalist Coat of the Lich",1001,1521,66,283
404,"Berserker's Cabalist Coat of the Traveler",403,500,152,566
405,"Strong Swindler Coat",205,343,77,414
406,"Strong Worn Scale Boots of the Grove",161,337,278,408
407,"Ravaging Swindler Mask of Rage",106,190,279,958
408,"Strong Privateer Hat of Grenth",153,250,159,90
409,"Berserker's Cabalist Coat of Lyssa",439,548,182,811
410,"Strong Swindler Coat",193,365,171,126
411,"Berserker's Cabalist Coat of Infiltration",500,580,316,980
412,"Vatlaaw's Boots",8725,11110,307,67
413,"Carrion Cabalist Coat of the Pack",953,1127,35,243
414,"Strong Privateer Hat of Mercy",162,549,148,321
415,"Strong Worn Scale Boots of Hoelbrak",172,272,266,589
416,"Strong Privateer Hat of the Dolyak",272,372,183,550
417,"Strong Worn Scale Boots of Infiltration",172,315,177,189
418,"Carrion Cabalist Coat of Infiltration",416,532,104,439
419,"Strong Swindler Coat",474,701,126,436
420,"Ravaging Swindler Mask of the Lich",128,228,235,195
421,"Carrion Cabalist Coat of Hoelbrak",482,533,201,714
422,"Strong Reinforced Scale Boots of the Pack",178,290,205,231
423,"Mighty Studded Boots",71,248,680,783
424,"Carrion Cabalist Coat of Lyssa",500,501,497,2444
425,"Carrion Cabalist Coat of the Dolyak",502,532,307,1232
426,"Ravaging Privateer Hat of the Dolyak",129,222,111,110
427,"Ravaging Privateer Hat of the Flame Legion",211,400,151,278
428,"Rampager's Cabalist Coat of Infiltration",492,513,120,333
429,"Strong Swindler Coat",426,476,152,749
430,"Strong Reinforced Scale Boots of the Pack",176,300,115,509
431,"Ravaging Privateer Hat of the Traveler",224,490,206,141
432,"Rampager's Cabalist Coat of the Lich",447,693,122,1013
433,"Rampager's Cabalist Coat of Dwayna",503,506,496,1852
434,"Ravaging Swindler Coat",187,296,165,148
435,"Honed Privateer Hat of the Grove",146,652,495,368
436,"Strong Reinforced Scale Boots of the Flame Legion",170,231,186,87
437,"Honed Privateer Hat of Scavenging",132,210,168,169
438,"Rampager's Cabalist Coat of Dwayna",503,509,394,1801
439,"Honed Privateer Hat of the Citadel",332,600,130,207
440,"Berserker's Reinforced Scale Boots of the Centaur",138,332,106,226
441,"Ravaging Swindler Coat",180,360,146,769
442,"Shaman's Cabalist Coat of Strength",497,520,149,288
443,"Shaman's Cabalist Coat of the Eagle",477,533,133,666
444,"Honed Privateer Hat of Balthazar",211,399,175,214
445,"Berserker's Reinforced Scale Boots of Grenth",128,278,161,257
446,"Ravaging Swindler Coat",411,738,125,209
447,"Ravaging Privateer Hat of the Rata Sum",211,490,151,444
448,"Shaman's Cabalist Coat of the Flock",503,505,451,2380
449,"Shaman's Cabalist Coat of Balthazar",502,503,613,1288
450,"Mighty Studded Boots",91,197,399,1254
451,"Ravaging Privateer Hat of the Flame Legion",213,361,158,317
452,"Cleric's Cabalist Coat of the Afflicted",481,521,167,456
453,"Ravaging Swindler Coat",415,543,174,234
454,"Cleric's Cabalist Coat of Hoelbrak",476,539,138,423
455,"Berserker's Privateer Hat of the Afflicted",188,532,107,61
456,"Berserker's Reinforced Scale Boots of the Pack",131,268,162,107
457,"Mighty Studded Boots",54,386,65,1015
458,"Cleric's Cabalist Coat of Dwayna",501,509,483,1260
459,"Cleric's Cabalist Coat of the Pack",502,582,139,1222
460,"Honed Swindler Coat",156,400,144,129
461,"Carrion Reinforced Scale Boots of the Eagle",130,229,617,162
462,"Berserker's Privateer Hat of the Afflicted",0,247,187,0
463,"Berserker's Privateer Hat of Balthazar",0,205,180,0
464,"Honed Swindler Coat",181,390,182,284
465,"Berserker's Reinforced Scale Boots of Vampirism",133,191,1228,60
466,"Berserker's Privateer Hat of the Rata Sum",0,187,857,0
467,"Ravaging Worn Scale Boots of the Dolyak",156,258,158,245
468,"Carrion Privateer Hat of the Citadel",177,377,82,54
469,"Strong Cabalist Coat of the Flame Legion",1737,3022,174,190
470,"Precise Studded Boots",60,158,149,2055
471,"Strong Cabalist Coat of the Afflicted",615,1188,435,242
472,"Carrion Privateer Hat of Divinity",0,250,275,0
473,"Honed Swindler Coat",541,709,125,383
474,"Strong Cabalist Coat of Infiltration",826,1869,122,181
475,"Ravaging Worn Scale Boots of Infiltration",174,200,145,358
476,"Carrion Privateer Hat of Strength",0,198,470,0
477,"Carrion Privateer Hat of Dwayna",0,189,1099,0
478,"Ravaging Cabalist Coat of the Centaur",3914,10998,28,135
479,"Ravaging Cabalist Coat of Infiltration",505,940,327,404
480,"Strong Conjurer Chest of the Flock",1653,2752,117,687
481,"Carrion Privateer Hat of Melandru",0,191,693,0
482,"Ravaging Worn Scale Boots of Rage",174,234,144,257
483,"Honed Swindler Coat",315,410,169,82
484,"Ravaging Swindler Coat",197,368,141,360
485,"Ravaging Reinforced Scale Boots of the Eagle",171,250,107,150
486,"Rampager's Privateer Hat of Vampirism",0,211,260,0
487,"Berserker's Conjurer Chest of Rage",1301,2898,65,140
488,"Rampager's Privateer Hat of Balthazar",1,303,262,1
489,"Berserker's Conjurer Chest of the Centaur",3601,4900,46,50
490,"Berserker's Conjurer Chest of Strength",3201,3685,377,208
491,"Precise Studded Boots",74,271,716,1806
492,"Ravaging Reinforced Scale Boots of Hoelbrak",185,248,117,156
493,"Rampager's Privateer Hat of the Centaur",0,194,935,0
494,"Ravaging Swindler Coat",405,550,184,426
495,"Ravaging Conjurer Chest of the Rata Sum",1112,1998,99,103
496,"Carrion Reinforced Scale Boots of Strength",144,198,124,276
497,"Rampager's Privateer Hat of the Pack",0,187,935,0
498,"Carrion Conjurer Chest of the Flame Legion",1484,2484,125,41
499,"Shaman's Privateer Hat of the Citadel",60,227,148,7
500,"Carrion Conjurer Chest of Dwayna",3301,4069,14,69
501,"Ravaging Swindler Coat",468,712,107,959
502,"Carrion Conjurer Chest of Vampirism",3600,3764,90,37
503,"Precise Studded Boots",63,195,66,959
504,"Carrion Reinforced Scale Boots of Rage",135,223,1470,158
505,"Carrion Conjurer Chest of Lyssa",3201,3643,263,151
506,"Shaman's Privateer Hat of Divinity",150,207,361,106
507,"Shaman's Privateer Hat of Divinity",0,189,726,0
508,"Honed Conjurer Chest of Balthazar",2053,3344,98,144
509,"Ravaging Swindler Coat",255,466,145,179
510,"Ravaging Reinforced Scale Boots of Mercy",184,230,171,391
511,"Shaman's Privateer Hat of the Flame Legion",0,186,478,0
512,"Rampager's Conjurer Chest of the Flame Legion",1432,2457,165,63
513,"Vital Studded Boots",64,159,92,2365
514,"Rampager's Conjurer Chest of Infiltration",3601,4000,55,73
515,"Carrion Reinforced Scale Boots of Dwayna",109,217,150,201
516,"Cleric's Privateer Hat of the Citadel",0,209,216,0
517,"Berserker's Privateer Coat",210,909,131,218
518,"Rampager's Conjurer Chest of Lyssa",3101,3696,315,187
519,"Rampager's Conjurer Chest of Infiltration",3101,3611,295,113
520,"Cleric's Privateer Hat of the Rata Sum",1,199,198,1
521,"Carrion Reinforced Scale Boots of Lyssa",140,188,748,122
522,"Berserker's Privateer Coat",105,197,204,152
523,"Shaman's Conjurer Chest of the Grove",3501,4416,34,48
524,"Cleric's Privateer Hat of the Citadel",0,187,748,0
525,"Cleric's Privateer Hat of the Lich",0,203,692,0
526,"Shaman's Conjurer Chest of the Eagle",3301,3654,290,248
527,"Honed Reinforced Scale Boots of Hoelbrak",83,966,116,120
528,"Berserker's Privateer Coat",96,200,151,162
529,"Shaman's Conjurer Chest of Divinity",3301,3694,223,125
530,"Cleric's Conjurer Chest of the Eagle",3501,3886,58,51
531,"Cleric's Conjurer Chest of Scavenging",3201,3666,362,209
532,"Vital Studded Boots",45,150,51,1020
533,"Strong Privateer Hat of Infiltration",1650,2889,135,114
534,"Honed Reinforced Scale Boots of Melandru",146,222,170,506
535,"Strong Privateer Hat of the Lich",265,1037,167,158
536,"Honed Reinforced Scale Boots of the Flame Legion",170,278,130,130
537,"Berserker's Privateer Coat",96,172,280,147
538,"Cleric's Conjurer Chest of the Traveler",3201,3648,285,157
540,"Strong Privateer Hat of Rage",728,998,86,65
541,"Berserker's Privateer Coat",0,390,282,0
543,"Honed Reinforced Scale Boots of Scavenging",163,209,104,783
544,"Vital Studded Boots",63,222,74,591
546,"Ravaging Privateer Hat of Divinity",4832,7535,109,180
547,"Ravaging Privateer Hat of the Afflicted",300,829,255,245
548,"Rampager's Reinforced Scale Boots of the Grove",120,188,155,310
549,"Carrion Privateer Coat",211,726,106,676
550,"Strong Marauder Helm of Grenth",1013,1701,197,80
551,"Mighty Country Boots",77,97,77,11115
552,"Berserker's Marauder Helm of Melandru",1314,2360,70,69
553,"Rampager's Reinforced Scale Boots of the Afflicted",128,398,188,176
554,"Malign Studded Boots",52,199,164,701
555,"Mighty Country Boots",56,604,89,3117
556,"Carrion Privateer Coat",105,145,122,140
557,"Berserker's Marauder Helm of the Grove",2220,3630,36,65
558,"Berserker's Marauder Helm of Dwayna",2950,3308,230,143
559,"Rampager's Reinforced Scale Boots of Rage",127,160,950,107
560,"Ravaging Marauder Helm of Infiltration",909,1586,89,113
561,"Rampager's Reinforced Scale Boots of Melandru",133,188,2037,72
562,"Carrion Privateer Coat",92,180,105,72
563,"Malign Studded Boots",68,245,60,974
564,"Carrion Marauder Helm of Rage",911,1572,111,90
565,"Berserker's Seer Boots of the Flock",5016,111111,1,83
566,"Carrion Marauder Helm of Divinity",2468,3778,51,52
567,"Carrion Privateer Coat",99,111,1206,668
568,"Ravaging Reinforced Scale Boots of the Lich",190,220,265,293
569,"Berserker's Seer Boots of the Citadel",5411,9799,112,51
570,"Carrion Privateer Coat",0,130,452,0
571,"Berserker's Seer Boots of the Dolyak",16706,20050,271,109
572,"Carrion Marauder Helm of the Flock",3117,3485,67,51
573,"Ravaging Reinforced Scale Boots of Dwayna",155,203,162,270
574,"Carrion Marauder Helm of the Grove",2439,3890,184,121
575,"Rampager's Privateer Coat",211,580,140,207
576,"Zhed's Boots",40308,58393,38,137
577,"Honed Marauder Helm of Scavenging",1431,2399,59,153
578,"Carrion Seer Boots of Dwayna",40047,68781,12,36
579,"Rampager's Marauder Helm of Infiltration",867,1267,50,106
580,"Shaman's Reinforced Scale Boots of the Rata Sum",114,213,194,113
581,"Malign Studded Boots",62,201,129,1080
582,"Shaman's Reinforced Scale Boots of Lyssa",128,198,152,97
583,"Rampager's Marauder Helm of Infiltration",2503,3850,34,60
584,"Carrion Seer Boots of Infiltration",7000,9298,313,176
585,"Carrion Seer Boots of Balthazar",7000,9284,337,109
586,"Rampager's Marauder Helm of Balthazar",2955,3399,290,311
587,"Ogden's Boots",134601,150147,27,83
588,"Rampager's Privateer Coat",95,165,132,419
589,"Rampager's Privateer Coat",94,184,235,31
590,"Shaman's Reinforced Scale Boots of Infiltration",0,310,509,0
591,"Rampager's Marauder Helm of the Rata Sum",2629,3300,142,123
592,"Shaman's Reinforced Scale Boots of Mercy",1,186,916,1
593,"Strong Studded Boots",89,108,449,504
