Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin,Level,Rarity,Item Type
10 Slot Equipment Box,1760.9,2907,5494,333,140,60.574475404197,0,2,2
15 Slot Equipment Box,1495.45,8751,12057,425,199,17.088904125243,0,2,2
15 Slot Safe Box,1295.6,7760,10656,298,296,16.69587628866,0,2,2
12 Slot Equipment Box,1771.2,5003,7972,377,225,35.402758344993,0,2,2
10 Slot Craftsman's Bag,1446.9,1742,3754,601,213,83.059701492537,0,2,2
10 Slot Invisible Bag,796.9,726,1794,361,277,109.76584022039,0,2,2
12 Slot Craftsman's Bag,1140.75,5568,7895,423,208,20.487607758621,0,2,2
12 Slot Invisible Bag,2333.65,3214,6529,232,213,72.608898568762,0,2,2
15 Slot Craftsman's Bag,2430,13208,18400,432,105,18.397940642035,0,2,2
18 Slot Silk Bag,2436.4,23201,30164,582,350,10.501271496918,0,1,2
18 Slot Invisible Bag,3201,23317,31200,254,141,13.72818115538,0,2,2
18 Slot Equipment Box,2474.05,20213,26693,396,60,12.239895117004,0,2,2
20 Slot Safe Box,11120.95,110501,143087,572,54,10.064117066814,0,2,2
Recipe: Tray of Strawberry Tarts,38674.15,12323,59999,241,9,313.83713381482,25,2,3
Recipe: Tray of Peach Pies,77056.25,50089,149585,115,7,153.83866717243,75,2,3
Recipe: Tray of Peach Tarts,64763.45,20147,99897,91,14,321.45455899141,75,2,3
Recipe: Tray of Chocolate Omnomberry Creams,53248,40675,110500,51,9,130.91087891825,80,2,3
Recipe: Tray of Mango Pies,6069.45,60039,77777,43,18,10.109179033628,80,2,3
Recipe: Tray of Omnomberry Bars,29923.65,40241,82549,44,36,74.361099376258,80,2,3
Recipe: Tray of Omnomberry Cookies,81383.1,50149,154746,21,10,162.28259785838,80,2,3
Recipe: Tray of Omnomberry Pies,27689.3,35292,74098,59,25,78.457724130114,80,2,3
Recipe: Tray of Omnomberry Tarts,20399.75,75100,112355,43,14,27.16344873502,80,2,3
Recipe: Feast of Fire Flank Steak,34658.9,60211,111614,47,35,57.562405540516,80,2,3
Recipe: Feast of Lemongrass Poultry,29524.9,72536,120074,40,17,40.703788463659,80,2,3
Recipe: Feast of Orrian Steak Frittes,57351.65,70137,149989,37,14,81.770891255685,80,2,3
Recipe: Feast of Rare Veggie Pizzas,104054.15,40443,169999,36,9,257.28593328883,80,2,3
Recipe: Feast of Truffle Ravioli,85769.9,50138,159894,27,7,171.06765327696,80,2,3
Recipe: Pot of Truffle Risotto,34960.6,50238,100236,21,16,69.589951829293,80,2,3
Recipe: Feast of Truffle Steak Dinner,41947,60051,120000,36,12,69.852292218281,80,2,3
Recipe: Feast of Truffle Steak,31988.65,70000,119989,49,6,45.698071428571,80,2,3
Recipe: Tray of Garlic Bread,15321.8,10591,30488,266,27,144.66811443679,25,2,3
Recipe: Feast of Fire Salsa,105735.25,60034,195025,52,6,176.12561215311,80,2,3
Recipe: Feast of Lotus Fries,68851.3,50145,139998,40,11,137.30441719015,80,2,3
Recipe: Tray of Omnomberry Bread,34696,50302,100000,30,9,68.975388652539,80,2,3
Recipe: Tray of Saffron Bread,76003.15,33644,128999,68,7,225.90402449174,80,2,3
Recipe: Pot of Poultry and Leek Soup,28573,60675,105000,23,17,47.091882983107,75,2,3
Recipe: Pot of Curry Butternut Squash Soup,59711,38037,115000,27,15,156.98136025449,80,2,3
Recipe: Pot of Lemongrass Poultry Soup,18247,71001,105000,54,49,25.699638033267,80,2,3
Recipe: Pot of Orrian Truffle Soup,40793.45,51002,107997,42,11,79.984020234501,80,2,3
Recipe: Corrupted Shard,828.95,280,1307,395,316,296.05357142857,80,3,3
Recipe: Corrupted Artifact,588.3,173,898,159,81,340.05780346821,80,3,3
Recipe: Corrupted Cudgel,934.6,250,1396,317,158,373.84,80,3,3
Recipe: Corrupted Scepter,764.65,193,1129,638,140,396.19170984456,80,3,3
Recipe: Corrupted Bulwark,677.9,233,1074,234,103,290.94420600858,80,3,3
Recipe: Satchel of Cleric's Exalted Armor (Exotic),141476.45,38974,212297,111,9,363.00212962488,0,5,3
Recipe: Satchel of Assassin's Exalted Armor (Exotic),187890.75,60643,292395,120,18,309.83089556915,0,5,3
Recipe: Satchel of Valkyrie Exalted Armor (Exotic),128648.9,60520,222554,107,19,212.57253800397,0,5,3
Recipe: Satchel of Rampager's Exalted Armor (Exotic),113361,48120,189980,106,7,235.57980049875,0,5,3
Recipe: Satchel of Knight's Exalted Armor (Exotic),107182.5,53508,189050,84,10,200.31116842341,0,5,3
Recipe: Box of Simple Mighty Chain Armor,17061.3,5120,26098,135,30,333.228515625,0,1,3
Recipe: Box of Mighty Chain Armor (Master),38448.3,12514,59958,450,8,307.24228863673,0,3,3
Recipe: Box of Assassin's Gladiator Armor (Rare),27475.5,57514,99990,87,18,47.771846854679,0,4,3
Recipe: Box of Berserker's Barbaric Armor (Rare),71913.65,30194,120129,56,27,238.17198781215,0,4,3
Recipe: Box of Carrion Draconic Armor (Exotic),63402.6,30007,109896,61,14,211.29269837038,0,5,3
Recipe: Box of Cleric's Draconic Armor (Exotic),125777.5,40013,195050,56,11,314.34158898358,0,5,3
Recipe: Box of Assassin's Draconic Armor (Exotic),83240,40008,145000,71,10,208.05838832234,0,5,3
Recipe: Box of Berserker's Draconic Armor (Exotic),68823.15,50004,139799,122,12,137.63528917687,0,5,3
Recipe: Box of Rampager's Draconic Armor (Exotic),80215,30283,130000,84,12,264.88458871314,0,5,3
Recipe: Box of Knight's Draconic Armor (Exotic),83325.3,40006,145098,46,11,208.28200769885,0,5,3
Recipe: Satchel of Carrion Emblazoned Armor (Exotic),129230.15,45017,204999,80,7,287.06966257192,0,5,3
Recipe: Satchel of Valkyrie Emblazoned Armor (Exotic),155092.65,40311,229889,77,17,384.74026940537,0,5,3
Recipe: Satchel of Rampager's Emblazoned Armor (Exotic),74694.3,40052,134998,115,20,186.49330869869,0,5,3
Recipe: Extended Potion of Outlaw Slaying,11605.15,5392,19999,72,20,215.22904302671,0,5,3
Berserker's Draconic Pauldrons,6248.3,46108,61598,87,43,13.551444434805,80,5,0
Knight's Draconic Pauldrons,6876.2,38556,53452,57,7,17.83431891275,80,5,0
Valkyrie Barbaric Legplates,948.35,317,1491,521,105,299.16403785489,80,3,0
Rampager's Barbaric Legplates,1231.65,423,1949,998,323,291.17021276596,80,3,0
Carrion Draconic Legs,989.8,7566,10068,100,58,13.082209886334,80,5,0
Cleric's Draconic Legs,9096.15,29066,44899,101,49,31.29481180761,80,5,0
Berserker's Draconic Legs,5962.75,43841,58595,124,63,13.600853082731,80,5,0
Knight's Draconic Legs,6503.9,41259,56194,78,55,15.763590974091,80,5,0
Valkyrie Draconic Legs,1605,12843,17000,80,54,12.497080121467,80,5,0
Berserker's Draconic Boots,4656.1,45055,58486,103,39,10.334258128953,80,5,0
Knight's Draconic Boots,4160.8,20358,28848,77,76,20.438156989881,80,5,0
Carrion Draconic Gauntlets,1882.1,6893,10326,120,110,27.304511823589,80,5,0
Berserker's Draconic Gauntlets,6998.95,46113,62487,77,22,15.177824040943,80,5,0
Carrion Draconic Coat,1229.4,7272,10004,148,106,16.905940594059,80,5,0
Berserker's Draconic Coat,11398.1,41305,62006,145,63,27.594964290038,80,5,0
Knight's Draconic Coat,5182.25,40125,53305,86,72,12.915264797508,80,5,0
Carrion Barbaric Coat,999.65,519,1789,710,310,192.61078998073,80,3,0
Knight's Barbaric Coat,958.5,306,1490,937,169,313.23529411765,80,3,0
Valkyrie Barbaric Coat,777.2,506,1512,679,212,153.59683794466,80,3,0
Berserker's Barbaric Coat,1000.45,270,1497,670,191,370.53703703704,80,3,0
Rampager's Barbaric Coat,568.45,787,1597,657,144,72.22998729352,80,3,0
Berserker's Draconic Helm,10796.05,35249,54173,164,67,30.62796107691,80,5,0
Berserker's Gladiator Pauldrons,3022.9,11165,16694,92,73,27.074787281684,80,4,0
Knight's Gladiator Pauldrons,1601.85,3055,5481,56,54,52.433715220949,80,4,0
Berserker's Gladiator Legplates,5168.9,6571,13814,97,40,78.662304063308,80,4,0
Carrion Gladiator Boots,1012.3,2571,4218,48,24,39.373784519642,80,4,0
Carrion Gladiator Gauntlets,1121.3,2615,4398,139,64,42.879541108987,80,4,0
Carrion Gladiator Chestplate,2501.5,3319,6850,78,77,75.36908707442,80,4,0
Berserker's Gladiator Chestplate,4899,3582,9980,46,43,136.76716917923,80,4,0
Carrion Gladiator Helm,1081.6,2976,4776,93,57,36.344086021505,80,4,0
Berserker's Gladiator Helm,5354.6,3157,10016,35,26,169.61038961039,80,4,0
Rampager's Gladiator Helm,1222.35,3001,4971,62,53,40.731422859047,80,4,0
Carrion Exalted Boots,4212,17546,25600,93,58,24.005471332497,80,5,0
Berserker's Exalted Boots,4994.65,41744,54989,98,18,11.964953047145,80,5,0
Knight's Exalted Boots,12282,30216,50000,65,43,40.647339158062,80,5,0
Berserker's Feathered Boots,668.1,304,1146,726,103,219.76973684211,80,3,0
Carrion Masquerade Boots,1418.5,4096,6490,64,40,34.63134765625,80,4,0
Berserker's Masquerade Boots,6438,3760,12000,59,11,171.22340425532,80,4,0
Knight's Masquerade Boots,1994.55,3905,6943,58,46,51.076824583867,80,4,0
Valkyrie Exalted Pants,15655,33626,57980,76,27,46.556236245762,80,5,0
Carrion Feathered Pants,1614.1,939,3006,585,139,171.89563365282,80,3,0
Knight's Feathered Pants,936.7,1681,3082,837,136,55.722784057109,80,3,0
Valkyrie Feathered Pants,1340.15,1207,2999,706,183,111.03148301574,80,3,0
Cleric's Feathered Pants,1995.35,528,2971,418,137,377.9071969697,80,3,0
Rampager's Feathered Pants,1980.65,779,3249,708,152,254.25545571245,80,3,0
Carrion Masquerade Leggings,3800,4001,9180,74,61,94.976255936016,80,4,0
Berserker's Masquerade Leggings,4005,6193,12000,126,38,64.669788470854,80,4,0
Carrion Exalted Masque,1855,15143,20000,67,56,12.249884435052,80,5,0
Berserker's Exalted Masque,10712.35,42046,62071,81,41,25.477691100224,80,5,0
Rampager's Exalted Masque,3351.15,9311,14899,55,53,35.991300612179,80,5,0
Valkyrie Exalted Masque,6796.15,16117,26959,64,44,42.167587019917,80,5,0
Cleric's Exalted Gloves,1650.25,6903,10065,127,118,23.906272635086,80,5,0
Berserker's Exalted Gloves,9008.45,41545,59477,88,16,21.683596100614,80,5,0
Valkyrie Exalted Gloves,7604.6,10920,21796,64,45,69.639194139194,80,5,0
Carrion Masquerade Gloves,1210.4,3007,4964,136,68,40.252743598271,80,4,0
Berserker's Masquerade Gloves,3227.5,3052,7390,24,22,105.750327654,80,4,0
Carrion Exalted Coat,2917.1,8850,13846,170,105,32.961581920904,80,5,0
Berserker's Exalted Coat,4787.5,40201,52930,119,86,11.908907738613,80,5,0
Carrion Feathered Vestments,721.45,481,1417,774,197,149.9896049896,80,3,0
Knight's Feathered Vestments,505.35,522,1211,1268,137,96.810344827586,80,3,0
Cleric's Feathered Vestments,994.65,490,1749,1300,131,202.98979591837,80,3,0
Berserker's Feathered Vestments,837.05,532,1613,942,178,157.34022556391,80,3,0
Berserker's Exalted Mantle,5752,40316,54200,80,56,14.26728842147,80,5,0
Valkyrie Exalted Mantle,6647.75,10261,19895,78,46,64.786570509697,80,5,0
Valkyrie Prowler Pants,553.8,233,928,651,83,237.68240343348,80,3,0
Berserker's Noble Pants,3844.8,5408,10888,101,78,71.094674556213,80,4,0
Valkyrie Noble Pants,1579.2,3121,5532,62,33,50.599166933675,80,4,0
Carrion Emblazoned Pants,2734.75,12627,18075,105,58,21.657955175418,80,5,0
Berserker's Emblazoned Pants,5706.85,43541,57941,130,89,13.106841827243,80,5,0
Knight's Emblazoned Pants,9642.2,26049,41992,60,17,37.015624400169,80,5,0
Carrion Prowler Coat,518.8,149,788,765,119,348.18791946309,80,3,0
Berserker's Noble Coat,3975.95,3576,8887,65,44,111.18428411633,80,4,0
Carrion Emblazoned Coat,5611.8,9302,17548,96,64,60.328961513653,80,5,0
Valkyrie Emblazoned Coat,8510.45,27100,41897,72,63,31.403874538745,80,5,0
Valkyrie Noble Gloves,930,2468,4000,45,41,37.682333873582,80,4,0
Berserker's Emblazoned Gloves,5029.3,41241,54438,72,52,12.19490313038,80,5,0
Rampager's Emblazoned Gloves,1869.5,8507,12210,144,118,21.976019748442,80,5,0
Valkyrie Emblazoned Gloves,10747,19001,35000,84,27,56.560181043103,80,5,0
Berserker's Emblazoned Boots,9447.15,33050,49999,80,37,28.584417549168,80,5,0
Valkyrie Emblazoned Boots,9332.35,30200,46511,50,24,30.901821192053,80,5,0
Berserker's Noble Shoulders,4071.75,4422,9995,86,35,92.079375848033,80,4,0
Carrion Emblazoned Shoulders,6760.65,9021,18569,140,59,74.943465247755,80,5,0
Rampager's Emblazoned Shoulders,3151,9461,14840,78,29,33.305147447416,80,5,0
Knight's Emblazoned Shoulders,4944,20350,29760,84,70,24.29484029484,80,5,0
Carrion Emblazoned Helm,4273.7,5161,11102,133,96,82.807595427243,80,5,0
Berserker's Emblazoned Helm,11676.45,32519,51997,370,76,35.906546941788,80,5,0
Rampager's Emblazoned Helm,2953.45,6732,11397,135,122,43.871806298277,80,5,0
Bowl of Cauliflower Soup,555.6,408,1136,10406,683,136.17647058824,55,2,3
Jar of Red Curry Paste,872.5,2517,3990,2044,498,34.66428287644,80,1,5
Tray of Raspberry Peach Compote,571,600,1380,1152,335,95.166666666667,75,3,3
Tray of Raspberry Peach Bars,759,701,1720,1495,1080,108.27389443652,75,3,3
Tray of Mixed Berry Pies,862.65,605,1729,2133,267,142.5867768595,75,3,3
Tray of Chocolate Omnomberry Creams,2577,3371,7000,1055,80,76.446158409967,80,3,3
Tray of Omnomberry Bars,1027.6,3455,5276,2895,805,29.742402315485,80,3,3
Tray of Omnomberry Compote,722.05,3214,4633,1442,567,22.465774735532,80,3,3
Tray of Omnomberry Cookies,3010.9,2592,6594,817,65,116.1612654321,80,3,3
Tray of Omnomberry Pies,947.85,4814,6781,1516,278,19.689447444952,80,3,3
Tray of Omnomberry Tarts,2063.15,4734,7999,908,82,43.581537811576,80,3,3
Tray of Spicy Chocolate Cookies,5436.7,2111,8882,896,50,257.54144954998,80,3,3
Feast of Pepper Steaks,7105.15,3092,11999,331,12,229.79139715395,25,3,3
Feast of Pepper Steak Dinners,2050.95,3512,6547,374,164,58.398348519362,25,3,3
Feast of Mushroom Pizzas,852.75,1266,2495,1194,147,67.357819905213,40,3,3
Feast of Rosemary Roasted Meat,2558.25,827,3985,668,60,309.34099153567,40,3,3
Feast of Coriander Crusted Meat,3431.6,3023,7596,388,168,113.51637446245,60,3,3
Feast of Fancy Veggie Pizzas,885.85,1646,2981,278,180,53.818347509113,60,3,3
Feast of Pesto Pasta Salad,531.85,317,1001,1366,111,167.77602523659,60,3,3
Feast of Roast Meat with Mint Sauce,3520.9,1572,5994,987,170,223.97582697201,60,3,3
Feast of Steak and Asparagus,703.15,314,1199,839,635,223.93312101911,75,3,3
Feast of Spicy Cheeseburgers,673.6,171,996,632,391,393.91812865497,75,3,3
Feast of Roast Meat with Braised Leeks,1638,2219,4540,727,87,73.817034700315,75,3,3
Feast of Steak and Asparagus Dinner,1903.15,1664,4199,899,99,114.37199519231,75,3,3
Feast of Fancy Truffle Burgers,4385,2838,8500,509,41,154.51021846371,80,3,3
Feast of Fire Flank Steak,1201.75,1648,3355,860,186,72.921723300971,80,3,3
Feast of Lemongrass Poultry,8999.5,15640,28990,822,66,57.541560102302,80,3,3
Feast of Lotus Stirfry,3949.85,4073,9441,966,78,96.976430149767,80,3,3
Feast of Rare Veggie Pizzas,1448.6,7216,10196,1147,125,20.074833702882,80,3,3
Feast of Truffle Ravioli,2414.9,6078,9994,1130,71,39.731819677526,80,3,3
Pot of Truffle Risotto,6254.3,3619,11618,641,26,172.81845813761,80,3,3
Feast of Truffle Steak Dinner,3870.25,9766,16045,471,214,39.629838214213,80,3,3
Feast of Truffle Steak,4943.2,3429,9852,1175,74,144.15864683581,80,3,3
Tray of Banana Bread,2533.6,1609,4876,1295,218,157.46426351771,25,3,3
Feast of Fire Salsa,2102.75,7496,11295,1028,97,28.051627534685,80,3,3
Feast of Ghost Pepper Poppers,878.4,1571,2884,1607,105,55.91343093571,80,3,3
Feast of Lotus Fries,1773.2,1618,3992,2257,224,109.59208899876,80,3,3
Tray of Omnomberry Bread,1261.65,7023,9749,2939,251,17.964545066211,80,3,3
Feast of Roasted Lotus Root,3211.5,1402,5430,1578,168,229.06562054208,80,3,3
Feast of Seaweed Salad,10231,16797,31800,1770,117,60.909686253498,80,3,3
Feast of Truffle Sautee,1193,2273,4080,1524,119,52.485701715794,80,3,3
Pot of Clam Chowder,794,479,1500,524,497,165.76200417537,25,3,3
Pot of Kale Soup,1311.25,2074,3985,456,100,63.223240115718,40,3,3
Pot of Yam Soup,2427.85,801,3801,558,64,303.10237203496,40,3,3
Pot of Kale and Poultry Soup,1210.75,551,2075,820,301,219.73684210526,40,3,3
Pot of Spiced Meat and Cabbage Stew,2358.25,908,3845,658,117,259.71916299559,60,3,3
Pot of Potato and Leek Soup,2459.5,913,3970,858,62,269.38663745893,75,3,3
Pot of Poultry and Leek Soup,3992.3,4504,9998,1272,603,88.638987566607,75,3,3
Pot of Butternut Squash Soup,7661.85,4475,14281,344,91,171.21452513966,75,3,3
Pot of Curry Butternut Squash Soup,5108.3,15458,24198,462,297,33.046319058093,80,3,3
Pot of Curry Pumpkin Soup,14550.25,15185,34985,1265,78,95.819888047415,80,3,3
Pot of Fancy Potato and Leek Soup,5126.85,2097,8501,934,45,244.48497854077,80,3,3
Pot of Fire Meat Chili,2123.5,2167,5050,186,102,97.992616520535,80,3,3
Pot of Fire Veggie Chili,587.45,2808,3997,586,158,20.920584045584,80,3,3
Pot of Orrian Truffle and Meat Stew,5459.2,9067,17092,391,40,60.209551119444,80,3,3
Pot of Orrian Truffle Soup,5711.5,10428,18990,513,88,54.770809359417,80,3,3
Pot of Saffron-scented Poultry Soup,6835.15,2512,10999,393,23,272.09992038217,80,3,3
Unidentified Brown Dye,5734.8,2753,9988,248,69,208.31093352706,0,4,4
Unidentified Gray Dye,1990.55,11508,15883,943,518,17.297097671185,0,4,4
Unidentified Green Dye,1161.45,7249,9897,167,131,16.022209959994,0,4,4
Unidentified Orange Dye,1468.5,2346,4490,1026,327,62.595907928389,0,4,4
Unidentified Red Dye,1490,7008,10000,198,96,21.261415525114,0,4,4
Unidentified Yellow Dye,898.15,2669,4199,1269,1002,33.65118021731,0,4,4
Unidentified Blue Dye,686.7,928,1902,588,284,73.997844827586,0,3,4
Unidentified Green Dye,799.85,2021,3321,397,242,39.576942107867,0,3,4
Unidentified Purple Dye,828.15,444,1499,966,380,186.52027027027,0,3,4
Unidentified Red Dye,652.35,630,1511,1185,192,103.54761904762,0,3,4
Unidentified Yellow Dye,1698.15,849,2999,292,138,200.01766784452,0,3,4
Unidentified Red Dye,711.55,1176,2223,561,364,60.505952380952,0,2,4
Unidentified Yellow Dye,1271.45,764,2397,1002,413,166.42015706806,0,2,4
Darksteel Greatsword Blade,545.1,1226,2086,571,476,44.461663947798,0,1,5
Darksteel Axe Blade,676,818,1760,2246,346,82.640586797066,0,1,5
Steel Axe Blade,862.95,484,1587,1717,341,178.29545454545,0,1,5
Orichalcum Hammer Head,802.3,2934,4398,1226,630,27.344921608725,0,1,5
Steel Hammer Head,842.3,616,1718,1733,431,136.73701298701,0,1,5
Darksteel Sword Blade,521.1,1063,1866,1267,310,49.021636876764,0,1,5
Orichalcum Mace Head,1012.9,2635,4294,392,225,38.440227703985,0,1,5
Steel Mace Head,1050.7,564,1902,1421,266,186.29432624113,0,1,5
Darksteel Dagger Hilt,570,618,1400,896,650,92.233009708738,0,1,5
Orichalcum Dagger Hilt,1342.15,1545,3399,1073,133,86.870550161812,0,1,5
Darksteel Greatsword Hilt,751.4,1188,2284,527,496,63.249158249158,0,1,5
Orichalcum Greatsword Hilt,593.15,2719,3899,417,220,21.815005516734,0,1,5
Large Ancient Haft,715,2615,3920,1408,768,27.342256214149,0,1,5
Orichalcum Shield Boss,928,2045,3500,498,482,45.378973105134,0,1,5
Darksteel Rifle Barrel,722,636,1600,1029,313,113.52201257862,0,1,5
Steel Rifle Barrel,614.7,728,1582,1541,297,84.436813186813,0,1,5
Orichalcum Pistol Barrel,810.3,3011,4498,404,122,26.911325141149,0,1,5
Darksteel Horn,931,512,1700,1316,353,181.8359375,0,1,5
Soft Longbow Stave,620.75,869,1755,556,346,71.432681242808,0,1,5
Hard Short-Bow Stave,646.95,1210,2187,1074,477,53.46694214876,0,1,5
Soft Short-Bow Stave,573.35,1185,2071,923,391,48.383966244726,0,1,5
Seasoned Short-Bow Stave,501.15,431,1099,1825,321,116.27610208817,0,1,5
Soft Rifle Stock,685.25,1000,1985,3137,778,68.525,0,1,5
Soft Staff Shaft,674.45,1004,1977,835,614,67.176294820717,0,1,5
Ancient Scepter Rod,669.8,4333,5888,1083,642,15.458112162474,0,1,5
Ancient Focus Casing,990.5,3810,5650,585,406,25.997375328084,0,1,5
Mithril Plated Dowel,593.15,628,1439,11421,1139,94.450636942675,0,3,5
Darksteel Spear Head,1047.65,522,1849,1245,381,200.69923371648,0,1,5
Steel Spear Head,949.15,612,1839,2111,358,155.08986928105,0,1,5
Orichalcum Trident Head,1069,1224,2700,1698,801,87.33660130719,0,1,5
Greater Rune of Holding,3550.2,20156,27892,358,163,17.613613812264,0,4,5
Ancient Torch Handle,606,1942,3000,1074,408,31.204943357364,0,1,5
Wool Vestments Panel,1012.95,1320,2747,1277,359,76.738636363636,0,1,5
Cotton Coat Panel,1366.3,1639,3538,1624,311,83.361805979256,0,1,5
Cotton Pants Panel,1044.15,1826,3379,834,548,57.182365826944,0,1,5
Ancient Harpoon,1450.6,4324,6796,377,103,33.54764107308,0,1,5
Orichalcum Torch Head,750.45,1319,2437,405,357,56.895375284306,0,1,5
Coarse Longcoat Panel,529.4,730,1484,1344,507,72.520547945205,0,1,5
Iron Scale Chest Panel,624.9,1068,1994,2798,1088,58.511235955056,0,1,5
Steel Splint Boot Casing,621.35,287,1071,2083,1385,216.49825783972,0,1,5
Steel Splint Pauldron Casing,730.8,328,1248,2007,249,222.80487804878,0,1,5
Darksteel Chestplate Panel,1798.2,998,3292,1362,162,180.18036072144,0,1,5
Darksteel Gauntlet Lining,538.45,834,1617,1874,533,64.562350119904,0,1,5
Darksteel Helmet Lining,953.2,1231,2572,1857,236,77.432981316003,0,1,5
Darksteel Legging Panel,635.3,1741,2798,1315,464,36.49052268811,0,1,5
Orichalcum Chestplate Panel,638.55,3850,5283,1262,273,16.585714285714,0,1,5
Orichalcum Legging Panel,799.05,2627,4033,973,298,30.41682527598,0,1,5
Linen Coat Panel,1726.05,4386,7193,1198,242,39.353625170999,0,1,5
Linen Pants Panel,1767.8,4000,6788,1205,245,44.195,0,1,5
Linen Shoe Upper,509.3,1238,2058,1062,381,41.138933764136,0,1,5
Linen Helm Padding,695.6,880,1856,2031,380,79.045454545455,0,1,5
Linen Epaulet Padding,593.15,1019,1899,1011,314,58.209028459274,0,1,5
Silk Coat Panel,1201.25,1997,3765,2533,465,60.15272909364,0,1,5
Silk Pants Panel,1362.7,2122,4102,813,445,64.217719132893,0,1,5
Silk Helm Strap,644.25,446,1285,2681,379,144.45067264574,0,1,5
Gossamer Coat Panel,515.2,649,1372,1645,498,79.383667180277,0,1,5
Rugged Boot Upper,609.85,273,1041,2441,203,223.38827838828,0,1,5
Rugged Longcoat Padding,930.25,806,2045,1598,167,115.41563275434,0,1,5
Rugged Longcoat Panel,876.9,1156,2394,1450,493,75.856401384083,0,1,5
Rugged Goggle Padding,1859.75,1194,3595,1136,236,155.75795644891,0,1,5
Rugged Trouser Padding,526.75,929,1715,1908,211,56.700753498385,0,1,5
Rugged Trouser Panel,1130,568,2000,2273,224,198.94366197183,0,1,5
Thick Mask Padding,1497.5,838,2750,2276,118,178.69928400955,0,1,5
Ancient Focus Core,509.6,2120,3096,1382,614,24.037735849057,0,1,5
Ancient Trident Shaft,997.5,1542,2990,734,288,64.688715953307,0,1,5
