Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin
"Zodiac Hammer Skin",1780000,3289994
"Zodiac Longbow Skin",2000077,3200000
"Zodiac Mace Skin",1100001,2899999
"Zodiac Pistol Skin",1420000,2800000
"Zodiac Rifle Skin",1800000,2990000
"Zodiac Scepter Skin",800003,2999998
"Zodiac Shield Skin",1750000,2750000
"Zodiac Short Bow Skin",1370000,2490000
"Zodiac Staff Skin",2120000,3420000
"Zodiac Sword Skin",1910077,3009999
"Zodiac Torch Skin",1550826,2960003
"Zodiac Warhorn Skin",1513111,2800000
"Lovestruck Axe Skin",907910,1350000
"Lovestruck Anlace Skin",859797,999797
"Lovestruck Focus Skin",1050011,1860000
"Lovestruck Greatsword Skin",790097,1049999
"Lovestruck Hammer Skin",300014,750000
"Lovestruck Longbow Skin",1130346,1959999
"Lovestruck Mace Skin",1280330,1809998
"Lovestruck Pistol Skin",1500000,1899999
"Lovestruck Rifle Skin",2222230,3408982
"Lovestruck Scepter Skin",1123709,1649999
"Lovestruck Protector Skin",500007,600008
"Lovestruck Short Bow Skin",1040381,1499796
"Lovestruck Staff Skin",880202,1179996
"Lovestruck Sword Skin",1200000,1339999
"Lovestruck Flame Skin",1500916,2122790
"Lovestruck Call Skin",1000257,2790099
"Super Mace Skin",700012,2199999
"Super Axe Skin",1555002,2799998
"Super Warhorn Skin",4000000,8990000
"Super Focus Skin",1100007,3000019
"Super Torch Skin",600101,1760089
"Super Pistol Skin",6500000,10999999
"Super Rifle Skin",2770703,4177733
"Super Dagger Skin",3010599,6999998
"Super Hammer Skin",350313,1750000
"Toxic Spore Skin",110161,146955
"Dreamthistle Axe Skin",1510001,5259999
"Dreamthistle Dagger Skin",4500001,9000000
"Dreamthistle Focus Skin",2129705,10000000
"Dreamthistle Greatsword Skin",3860000,5999900
"Dreamthistle Hammer Skin",6000002,8509999
"Dreamthistle Longbow Skin",5000000,11990000
"Dreamthistle Mace Skin",1250012,3980100
"Dreamthistle Pistol Skin",3900000,7690000
"Dreamthistle Rifle Skin",2922210,5555554
"Dreamthistle Scepter Skin",2950085,0
"Dreamthistle Shield Skin",2050013,5000000
"Dreamthistle Short Bow Skin",3900001,7499898
"Dreamthistle Staff Skin",3062215,7999998
"Dreamthistle Sword Skin",4000420,6000420
"Dreamthistle Torch Skin",3500000,5410000
"Dreamthistle Warhorn Skin",4500000,10000128
"Dreamthistle Trident Skin",1750084,0
"Dreamthistle Harpoon Gun Skin",970703,3930703
"Dreamthistle Spear Skin",550009,0
"Tormented Axe Skin",1420053,2050000
"Tormented Dagger Skin",1912157,2592156
"Tormented Focus Skin",1400001,2599998
"Tormented Greatsword Skin",1260867,1649897
"Tormented Hammer Skin",1310015,1900000
"Tormented Longbow Skin",1730116,2650000
"Tormented Mace Skin",1440605,2501616
"Tormented Pistol Skin",1229999,2449998
"Tormented Rifle Skin",1900000,2240000
"Tormented Scepter Skin",1680758,2486967
"Tormented Shield Skin",800005,1162098
"Tormented Short Bow Skin",1770348,2459898
"Tormented Staff Skin",1255070,1707964
"Tormented Sword Skin",1021721,1444143
"Tormented Torch Skin",1555555,3005011
"Tormented Warhorn Skin",1770703,3000000
"Annelid Rifle Skin",138309,192095
"Tormented Harpoon Gun Skin",1180125,2800000
"Tormented Trident Skin",1661200,2699999
"Tormented Spear Skin",1170703,2594998
"Ley Line Hammer Skin",430201,1000001
"Ley Line Longbow Skin",1500000,1739994
"Ley Line Mace Skin",560000,799899
"Ley Line Pistol Skin",680000,809079
"Ley Line Rifle Skin",840001,1199995
"Ley Line Torch Skin",630000,1089976
"Ley Line Warhorn Skin",780000,1079662
"Ley Line Scepter Skin",657188,950000
"Ley Line Focus Skin",890405,1050000
"Ley Line Staff Skin",508005,830098
"Ley Line Shield Skin",610002,801598
"Ley Line Short Bow Skin",900106,1438875
"Ley Line Sword Skin",552937,750000
"Ley Line Greatsword Skin",700100,949090
"Ley Line Dagger Skin",871302,1149942
"Ley Line Axe Skin",800111,939982
"Phoenix Warhorn Skin",1870003,2352008
"Phoenix Greatsword Skin",1092006,1459998
"Phoenix Torch Skin",675000,750000
"Phoenix Hammer Skin",1820000,2500000
"Phoenix Longbow Skin",1000001,2550099
"Phoenix Mace Skin",1340139,2039999
"Phoenix Pistol Skin",1410089,1999995
"Phoenix Axe Skin",970001,1689501
"Phoenix Scepter Skin",1020002,1700043
"Phoenix Rifle Skin",1070007,1950000
"Phoenix Staff Skin",990508,1380292
"Phoenix Sword Skin",752192,1130000
"Phoenix Short Bow Skin",1020701,1440000
"Phoenix Dagger Skin",1037099,1539797
"Phoenix Focus Skin",951665,1301665
"Phoenix Shield Skin",810016,1158498
"Chaos Greatsword Skin",1310603,1879995
"Chaos Axe Skin",1119000,1320000
"Tempest Hammer Skin",580114,852726
"Chaos Warhorn Skin",1003156,1399999
"Chaos Torch Skin",900000,1101101
"Tempest Pistol Skin",840516,1199997
"Tempest Focus Skin",702525,877000
"Tempest Dagger Skin",1030103,1299797
"Tempest Mace Skin",650667,900655
"Tempest Scepter Skin",820801,1089999
"Tempest Greatsword Skin",820103,999998
"Chaos Longbow Skin",1890000,2259001
"Chaos Sword Skin",1340401,1703840
"Chaos Staff Skin",1835099,2355099
"Chaos Short Bow Skin",1700306,1900306
"Chaos Shield Skin",1359999,1609999
"Chaos Scepter Skin",1500000,2000000
"Tempest Shield Skin",556808,757575
"Tempest Rifle Skin",730555,909892
"Tempest Axe Skin",692805,899998
"Tempest Staff Skin",960000,1219900
"Chaos Pistol Skin",1750000,2200000
"Chaos Mace Skin",1500100,1800100
"Chaos Spear Skin",1151710,1449999
"Chaos Hammer Skin",1400000,1995906
"Chaos Focus Skin",1086369,1909097
"Chaos Dagger Skin",1750000,2250103
"Tempest Short Bow Skin",960499,1320497
"Tempest Longbow Skin",870401,1209993
"Tempest Sword Skin",880001,999998
"Chaos Harpoon Gun Skin",1550444,2199995
"Tempest Torch Skin",667295,879999
"Tempest Warhorn Skin",1209997,1430995
"Chaos Trident Skin",960310,1799998
"Chaos Rifle Skin",1151616,1301615
"Wintersday Greatsword Skin",620002,790000
"Wintersday Focus Skin",675000,799998
"Wintersday Scepter Skin",750410,850029
"Wintersday Shield Skin",650000,785422
"Wintersday Rifle Skin",618005,744200
"Wintersday Sword Skin",630002,752502
"Wintersday Staff Skin",670204,769800
"Wintersday Pistol Skin",675001,848720
"Wintersday Mace Skin",630308,752399
"Wintersday Torch Skin",759599,809299
"Wintersday Longbow Skin",655570,785000
"Wintersday Hammer Skin",610304,749900
"Wintersday Short Bow Skin",630208,785078
"Wintersday Warhorn Skin",756800,875000
"Wintersday Axe Skin",650202,750000
"Wintersday Dagger Skin",640001,772300
"Pact Fleet Pistol Skin",1000020,1249998
"Pact Fleet Short Bow Skin",1101006,1279999
"Pact Fleet Scepter Skin",600420,794790
"Pact Fleet Rifle Skin",710010,958791
"Pact Fleet Shield Skin",651107,944896
"Pact Fleet Staff Skin",666766,756700
"Pact Fleet Torch Skin",655207,849999
"Pact Fleet Warhorn Skin",730666,902900
"Pact Fleet Sword Skin",703116,910000
"Pact Fleet Axe Skin",710311,979773
"Pact Fleet Focus Skin",760112,999999
"Pact Fleet Hammer Skin",606591,849994
"Pact Fleet Dagger Skin",750406,959999
"Pact Fleet Mace Skin",610010,730060
"Pact Fleet Longbow Skin",630198,838897
"Pact Fleet Greatsword Skin",649704,799886
"Mordrem Warhorn Skin",730001,0
"Mordrem Greatsword Skin",650108,960103
"Mordrem Focus Skin",730015,0
"Mordrem Short Bow Skin",700000,1000000
"Mordrem Scepter Skin",700001,856972
"Mordrem Torch Skin",690000,949998
"Mordrem Dagger Skin",700000,900000
"Mordrem Axe Skin",700003,1000000
"Mordrem Mace Skin",650011,1010100
"Mordrem Staff Skin",720003,949998
"Mordrem Rifle Skin",710001,900001
"Mordrem Pistol Skin",691011,950000
"Mordrem Longbow Skin",701718,994998
"Mordrem Shield Skin",680600,940000
"Mordrem Hammer Skin",630002,995000
"Mordrem Sword Skin",715004,900000
