Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin
"Carrion Sneakthief Gloves of Melandru",19766.65,61023,95049,128,15,32.392130835914
"Carrion Sneakthief Gloves of Hoelbrak",28773.45,8282,43597,144,12,347.4215165419
"Rampager's Sneakthief Gloves of Lyssa",6584,31664,45000,28,11,20.793329964629
"Rampager's Sneakthief Gloves of Scavenging",9217.7,8836,21242,20,18,104.31982797646
"Aidan's Gloves",4568.9,18204,26794,178,126,25.098330037354
"Berserker's Scallywag Greaves of Scavenging",18654.05,32015,59613,67,8,58.266593784164
"Devona's Greaves",26098.85,75050,119001,120,15,34.77528314457
"Carrion Scallywag Greaves of Lyssa",18835.25,29328,56665,66,9,64.222756410256
"Rampager's Scallywag Greaves of the Dolyak",8991.3,16505,29998,29,11,54.476219327477
"Rampager's Scallywag Greaves of Infiltration",7426.2,7865,17992,53,10,94.420851875397
"Shaman's Scallywag Greaves of Dwayna",5603.65,7883,15869,41,28,71.085246733477
"Shaman's Scallywag Greaves of the Flame Legion",9428.75,10098,22975,21,16,93.372449990097
"Cleric's Scallywag Greaves of Rage",19755.3,5724,29978,51,6,345.13102725367
"Berserker's Scallywag Chest of Balthazar",3726.55,5369,10703,96,75,69.408642205252
"Carrion Scallywag Chest of the Afflicted",3092.3,6169,10898,34,31,50.126438644837
"Rampager's Scallywag Chest of the Pack",9604.15,6543,18999,26,18,146.78511386214
"Rampager's Scallywag Chest of Hoelbrak",55066.6,15070,82516,32,7,365.40544127405
"Shaman's Scallywag Chest of the Dolyak",19608.6,22886,49996,36,15,85.679454688456
"Cleric's Scallywag Chest of Divinity",15573.05,77545,109553,70,13,20.082597201625
"Cleric's Scallywag Chest of Infiltration",7345.2,12179,22972,44,30,60.310370309549
"Berserker's Sneakthief Leggings of Divinity",9683.2,93345,121212,199,13,10.373560447801
"Berserker's Sneakthief Leggings of the Centaur",2767.6,7002,11496,93,66,39.525849757212
"Berserker's Sneakthief Leggings of Hoelbrak",14700.5,15090,35050,152,25,97.418820410868
"Carrion Sneakthief Leggings of the Centaur",5428.7,8647,16562,30,15,62.781311437493
"Rampager's Sneakthief Leggings of Scavenging",25436.3,11722,43718,49,8,216.99624637434
"Aidan's Leggings",86975.3,23521,129998,136,9,369.77722035628
"Shaman's Sneakthief Leggings of the Dolyak",6547.3,17674,28498,44,32,37.044811587643
"Shaman's Sneakthief Leggings of the Pack",5852.7,13680,22982,25,21,42.782894736842
"Cleric's Sneakthief Leggings of Infiltration",3293,5545,10400,19,15,59.386834986474
"Ravaging Reinforced Scale Coat of Rage",2214.4,2003,4964,112,77,110.55416874688
"Berserker's Scallywag Gauntlets of the Afflicted",5903,28095,40000,45,20,21.010856024204
"Devona's Gauntlets",8898,80350,105000,81,19,11.074051026758
"Carrion Scallywag Gauntlets of the Dolyak",3144.5,23195,30990,61,33,13.556801034706
"Rampager's Scallywag Gauntlets of the Pack",9518.3,10878,23998,40,16,87.500459643317
"Rampager's Scallywag Gauntlets of Infiltration",7840.65,8383,19089,41,12,93.530359060002
"Cleric's Scallywag Gauntlets of Vampirism",2717,6631,11000,24,16,40.974212034384
"Cleric's Scallywag Gauntlets of the Flame Legion",4229.95,6858,13047,36,30,61.679060950714
"Berserker's Scallywag Gauntlets of the Pack",2847.55,7319,11963,249,121,38.906271348545
"Ravaging Privateer Boots of Lyssa",3016.15,1146,4899,126,48,263.18935427574
"Berserker's Scallywag Helm of the Pack",5753.4,20666,31084,132,9,27.839930320333
"Berserker's Scallywag Helm of Divinity",18540,40108,69000,98,92,46.22519198165
"Carrion Scallywag Helm of the Dolyak",4644.8,21693,30988,118,27,21.411515235329
"Rampager's Scallywag Helm of the Afflicted",4700.3,10171,17498,61,52,46.21276177367
"Rampager's Scallywag Helm of Dwayna",2161.6,10923,15396,56,40,19.789435136867
"Shaman's Scallywag Helm of the Flock",4968.7,8206,15502,65,19,60.549597855228
"Cleric's Scallywag Helm of the Pack",6334.5,10485,19790,23,20,60.414878397711
"Cleric's Scallywag Helm of the Flame Legion",8224.1,8575,19766,57,14,95.907871720117
"Ravaging Privateer Coat of Grenth",2473.85,5175,9001,72,64,47.8038647343
"Berserker's Rogue Coat of Melandru",2105.7,682,3282,162,88,308.75366568915
"Honed Banded Helm of the Traveler",2546.5,843,3990,216,63,302.07591933571
"Carrion Scallywag Legs of the Afflicted",11029.65,9461,24109,52,10,116.58017122926
"Carrion Scallywag Legs of the Eagle",4538,20093,28980,88,82,22.584979843727
"Rampager's Scallywag Legs of the Citadel",17192.45,15239,38157,74,22,112.81875451145
"Cleric's Scallywag Legs of the Flame Legion",15365.65,5822,24929,19,10,263.92390930952
"Honed Rogue Gloves of Rage",2033.8,572,3068,76,25,355.55944055944
"Berserker's Seer Gloves of Lyssa",29070.5,30419,69990,133,17,95.566915414708
"Zhed's Gloves",6178.95,30358,42987,65,32,20.353613545029
"Carrion Seer Gloves of the Eagle",5406.45,20004,29897,91,59,27.026844631074
"Ogden's Gloves",22515.6,60439,97596,107,39,37.253429077251
"Rampager's Seer Gloves of the Flame Legion",5781.75,10855,19575,84,26,53.263473053892
"Rampager's Seer Gloves of the Rata Sum",18519.75,11309,35095,30,12,163.76116367495
"Shaman's Seer Gloves of Lyssa",5538.1,22770,33306,26,14,24.321914800176
"Cleric's Seer Gloves of Vampirism",6691.6,4353,12996,42,16,153.72386859637
"Cleric's Seer Gloves of the Afflicted",25727.05,7925,39593,45,13,324.63154574132
"Strong Banded Legs of Divinity",2168.4,1267,4044,219,117,171.14443567482
"Ravaging Banded Legs of Infiltration",2195.75,586,3275,67,47,374.70136518771
"Berserker's Scallywag Pauldrons of the Afflicted",10670.35,59037,82011,150,9,18.074004437895
"Berserker's Scallywag Pauldrons of Hoelbrak",14144.6,15209,34536,183,35,93.001512262476
"Devona's Pauldrons",13419.6,80500,110496,118,17,16.670310559006
"Carrion Scallywag Pauldrons of the Grove",16662.15,12405,34199,127,23,134.31801692866
"Rampager's Scallywag Pauldrons of Rage",4790.85,12225,20021,60,31,39.188957055215
"Rampager's Scallywag Pauldrons of Lyssa",20223.5,29066,57990,81,14,69.577857290305
"Shaman's Scallywag Pauldrons of Vampirism",7657.6,11462,22496,39,26,66.808584889199
"Cleric's Scallywag Pauldrons of Rage",11093.45,6752,20997,34,11,164.29872630332
"Cleric's Scallywag Pauldrons of the Pack",2743.95,10061,15067,61,24,27.273133883312
"Ravaging Reinforced Scale Pauldrons of Balthazar",2577.45,971,4177,150,68,265.44284243048
"Berserker's Banded Pauldrons of Balthazar",2018.8,757,3268,139,44,266.68428005284
"Berserker's Conjurer Gloves of the Dolyak",2728.95,692,4027,110,27,394.35693641618
"Berserker's Seer Mask of the Pack",3724.75,7319,12995,118,67,50.891515234322
"Zhed's Mask",10132.3,31514,48998,102,52,32.151742082884
"Ogden's Mask",18994.3,66002,99998,130,10,28.778370352414
"Rampager's Seer Mask of the Grove",19473.6,14521,39996,72,13,134.1064664968
"Shaman's Seer Mask of Infiltration",7556.1,15431,27046,22,15,48.967014451429
"Shaman's Seer Mask of the Flame Legion",7198.2,10626,20972,64,24,67.741389045737
"Cleric's Seer Mask of the Eagle",7196,20002,32000,29,19,35.976402359764
"Cleric's Seer Mask of the Pack",10356.25,8329,21985,65,17,124.33965662144
"Zhed's Leggings",6772,45076,61000,98,23,15.023515839915
"Carrion Seer Pants of Grenth",27690.3,16081,51498,57,7,172.19264971084
"Ogden's Leggings",54191,59707,134000,124,19,90.761552246805
"Rampager's Seer Pants of Balthazar",8678.85,10105,22101,35,23,85.886689757546
"Rampager's Seer Pants of Balthazar",7587.15,16210,27999,61,21,46.805367057372
"Shaman's Seer Pants of the Dolyak",24602.15,16943,48879,47,10,145.20539455822
"Shaman's Seer Pants of Vampirism",22129.25,16106,44985,51,11,137.39755370669
"Cleric's Seer Pants of Lyssa",4636.4,24265,34004,41,19,19.107356274469
"Mhenlo's Leggings",2997.1,7784,12686,132,97,38.503340184995
"Strong Conjurer Pants of the Pack",2783.55,1535,5083,99,58,181.33876221498
"Ravaging Conjurer Pants of the Citadel",2075.5,872,3470,173,30,238.01605504587
"Shaman's Conjurer Pants of the Flock",2086.75,3585,6675,106,45,58.207810320781
"Zhed's Mantle",4520.6,19614,28396,147,68,23.047822983583
"Carrion Seer Mantle of Grenth",5392,20956,31000,62,18,25.730101164344
"Carrion Seer Mantle of the Dolyak",7075.5,18329,29890,138,78,38.602760652518
"Ogden's Mantle",18654.3,62092,94998,166,27,30.043000708626
"Rampager's Seer Mantle of Hoelbrak",3238.15,25047,33279,50,17,12.928294805765
"Rampager's Seer Mantle of the Rata Sum",11186.3,10060,24998,55,13,111.1958250497
"Shaman's Seer Mantle of the Dolyak",4588.35,22857,32291,47,30,20.074156713479
"Cleric's Seer Mantle of Lyssa",11292.6,20577,37496,24,15,54.879720075813
"Ravaging Conjurer Mantle of the Dolyak",2016.4,994,3544,116,28,202.85714285714
"Quiet Leather Leggings",2246,3702,7000,201,29,60.669908157753
"Excavator's Gloves",3664.65,2699,7489,215,36,135.77806595035
"Devout Garb",2454.65,2039,5289,378,88,120.38499264345
"Devout Leggings",2709.65,1716,5209,658,106,157.90501165501
"Iron Legion's Pauldrons",96657.3,94504,224898,7405,13,102.278527893
"Ogre Bag",2032,4001,7100,1646,11,50.787303174206
"Box of Precise Chain Armor",4428.15,10019,16999,134,27,44.197524703064
"Box of Vital Chain Armor",7238.95,2200,11107,38,19,329.04318181818
"Box of Carrion Barbaric Armor",23314.9,10678,39994,15,9,218.34519572954
"Box of Rampager's Gladiator Armor",44495.25,12100,66585,25,7,367.72933884298
"Box of Berserker's Draconic Armor",31488,270260,355000,137,10,11.651002738104
"Box of Knight's Draconic Armor",96291,200357,349000,62,11,48.05971341156
"Satchel of Carrion Emblazoned Armor",157395,80603,280000,73,8,195.27188814312
"Satchel of Berserker's Emblazoned Armor",54997,200001,300000,56,9,27.498362508187
"Satchel of Rampager's Emblazoned Armor",91815.95,140000,272727,56,9,65.582821428571
"Satchel of Knight's Emblazoned Armor",141491,105007,290000,84,6,134.74435037664
"Satchel of Berserker's Winged Armor",41197,20001,72000,140,7,205.97470126494
"Satchel of Carrion Exalted Armor",167443,100305,315000,96,6,166.93385175216
"Satchel of Cleric's Exalted Armor",21236.8,170001,224988,116,12,12.492161810813
"Satchel of Rampager's Exalted Armor",142353,90460,273900,73,8,157.36568649127
"Satchel of Knight's Exalted Armor",176242,100006,325000,147,7,176.23142611443
"Satchel of Rampager's Feathered Armor",4294.2,12289,19512,267,78,34.943445357637
"Large Supply Bag",2289.2,1187,4092,3324,134,192.85593934288
"Bag of Swiped Goods",6039.05,5054,13053,4479,131,119.49050257222
"15 Slot Linen Bag",3221.65,11761,17629,1571,449,27.392653685911
"15 Slot Invisible Leather Pack",2593.3,7603,11998,319,144,34.10890437985
"15 Slot Safe Box",2321,8710,12980,246,90,26.647531572905
"12 Slot Equipment Box",3015.65,5218,9689,422,139,57.793215791491
"12 Slot Craftsman's Bag",3297.15,5251,10059,433,103,62.790896972005
"15 Slot Invisible Bag",2552.65,12226,17389,199,106,20.878864714543
"15 Slot Craftsman's Bag",3280.6,13527,19776,381,123,24.252236268204
"18 Slot Silk Bag",5661,21010,31380,520,397,26.94431223227
"20 Slot Craftsman's Bag",15986.3,103010,139998,1889,32,15.519172895835
"18 Slot Oiled Leather Pack",2715.25,20900,27785,946,48,12.991626794258
"20 Slot Invisible Leather Pack",27190.15,81607,127999,429,28,33.318404058475
"20 Slot Oiled Leather Pack",18573.15,97024,135999,540,16,19.14284094657
"20 Slot Equipment Box",12925.15,112022,146999,523,21,11.538046098088
"20 Slot Safe Box",16070.15,104287,141599,561,32,15.409542896046
"Recipe: Tray of Raspberry Peach ComRecipe: Pote",203294,60034,309800,7,6,338.63144218276
"Recipe: Tray of Chocolate Omnomberry Creams",48969.15,40108,104799,52,12,122.0932232971
"Recipe: Tray of Mango Pies",46753.5,51071,115090,43,20,91.546082904192
"Recipe: Tray of Omnomberry Bars",29991,55007,100000,43,18,54.522151726144
"Recipe: Tray of Omnomberry ComRecipe: Pote",34219.65,50004,99089,64,11,68.433825293976
"Recipe: Tray of Omnomberry Cookies",101486.25,30045,154745,16,6,337.78082875686
"Recipe: Tray of Omnomberry Pies",16484.35,60091,90091,54,11,27.432310994991
"Recipe: Tray of Omnomberry Tarts",35048.95,40503,88887,36,16,86.534207342666
"Recipe: Feast of Tarragon Stuffed Poultrys",71487.05,22039,110033,44,6,324.36612368982
"Recipe: Feast of Fire Flank Steak",51681,50317,120000,44,31,102.71081344277
"Recipe: Feast of Lemongrass Poultry",67487.75,60006,149995,38,8,112.46833649968
"Recipe: Feast of Orrian Steak Frittes",31959.15,70038,119999,33,15,45.631157371712
"Recipe: Feast of Rare Veggie Pizzas",53539.5,40035,110090,30,15,133.73173473211
"Recipe: Feast of Truffle Ravioli",43489.6,50056,110056,24,6,86.881892280646
"Recipe: Pot of Truffle Risotto",155618,50080,242000,19,10,310.73881789137
"Recipe: Feast of Truffle Steak Dinner",58551.9,60441,139994,37,11,96.874472626197
"Recipe: Feast of Truffle Steak",49175.65,40063,104989,49,12,122.74580036443
"Recipe: Feast of Fire Salsa",125622.4,40146,195024,48,6,312.91386439496
"Recipe: Feast of Lotus Fries",68945.6,50049,139996,37,12,137.75619892505
"Recipe: Tray of Omnomberry Bread",14994.6,70000,99996,25,17,21.420857142857
"Recipe: Tray of Saffron Bread",77267.6,33057,129796,65,7,233.7405088181
"Recipe: Pot of Recipe: Potato and Leek Soup",60458.3,50038,129998,52,8,120.82477317239
"Recipe: Pot of Poultry and Leek Soup",84958.15,68039,179999,24,17,124.86684107644
"Recipe: Pot of Curry Butternut Squash Soup",24962,60036,100000,30,16,41.578386301552
"Recipe: Pot of Lemongrass Poultry Soup",58864,60134,140000,57,23,97.888050021618
"Recipe: Pot of Orrian Truffle and Meat Stew",128324.45,40056,198097,68,8,320.36261733573
"Recipe: Pot of Orrian Truffle Soup",31869.5,60005,108090,42,10,53.111407382718
"Recipe: Satchel of Cleric's Exalted Armor (Exotic)",114084,38914,180000,107,11,293.16955337411
"Recipe: Satchel of Valkyrie Exalted Armor (Exotic)",152453.8,60017,249968,101,20,254.01769498642
"Recipe: Satchel of Berserker's Exalted Armor (Exotic)",122745.15,60002,214999,108,8,204.5684310523
"Recipe: Satchel of Rampager's Exalted Armor (Exotic)",113757.8,47713,189968,102,11,238.42097541551
"Recipe: Satchel of Knight's Exalted Armor (Exotic)",202807.95,52111,299907,80,10,389.1845291781
"Recipe: Box of Assassin's Gladiator Armor (Rare)",75293.65,20082,112209,96,6,374.93103276566
"Recipe: Box of Assassin's Draconic Armor (Exotic)",61894.45,40101,119997,69,14,154.34640033914
"Recipe: Box of Berserker's Draconic Armor (Exotic)",78891.9,40101,139994,120,10,196.73299917708
"Recipe: Box of Rampager's Draconic Armor (Exotic)",78857.6,40103,139956,78,11,196.63765803057
"Recipe: Box of Knight's Draconic Armor (Exotic)",127491.6,32201,187876,40,10,395.92435017546
"Recipe: Satchel of Mighty Seeker Armor",8046.7,3003,13002,109,8,267.95537795538
"Recipe: Satchel of Carrion Emblazoned Armor (Exotic)",134163,40000,204900,76,7,335.4075
"Recipe: Extended Potion of Outlaw Slaying",12198,4800,20000,64,21,254.125
"Vigorous Splint Coat",2815.85,1501,5081,169,69,187.59826782145
"Vigorous Splint Legs",3354.15,2168,6499,210,44,154.71171586716
"Cleric's Draconic Pauldrons",6199,23549,35000,78,32,26.323835407024
"Knight's Draconic Pauldrons",13483.05,31644,53093,62,6,42.608551384149
"Carrion Draconic Legs",2150.9,8042,11994,105,45,26.74583436956
"Knight's Draconic Legs",5482,37016,50000,90,47,14.809811973201
"Berserker's Draconic Boots",6715.6,32005,45556,99,76,20.982971410717
"Knight's Draconic Boots",8483.15,18680,31959,96,60,45.41300856531
"Carrion Draconic Gauntlets",2558.25,5961,10025,123,122,42.916456970307
"Knight's Draconic Gauntlets",7823,35083,50480,88,49,22.298549154861
"Valkyrie Draconic Gauntlets",6133.15,7889,16499,82,76,77.743059956902
"Carrion Draconic Coat",2512.6,5863,9856,151,88,42.855193586901
"Cleric's Draconic Coat",7828.8,15704,27688,74,45,49.85226693836
"Berserker's Draconic Helm",8995,25003,40000,185,150,35.97568291805
"Carrion Gladiator Pauldrons",3080.05,3083,7253,29,12,99.90431397989
"Berserker's Gladiator Pauldrons",2406.35,3636,7111,78,75,66.181243124312
"Rampager's Gladiator Pauldrons",3201.1,2922,7206,27,6,109.55167693361
"Carrion Gladiator Legplates",4433.25,2862,8585,25,17,154.90041928721
"Cleric's Gladiator Legplates",4937.35,3043,9391,35,15,162.25271114032
"Berserker's Gladiator Legplates",10706.7,2961,16082,73,8,361.59067882472
"Knight's Gladiator Legplates",4450.25,3015,8785,45,14,147.60364842454
"Carrion Gladiator Boots",2231.75,2862,5995,49,12,77.978686233403
"Rampager's Gladiator Boots",2966.1,2834,6826,26,21,104.66125617502
"Knight's Gladiator Boots",4613.75,2860,8795,23,18,161.31993006993
"Valkyrie Gladiator Boots",3048,2900,7000,33,19,105.10344827586
"Carrion Gladiator Gauntlets",2251.25,2511,5605,134,17,89.655515730785
"Cleric's Gladiator Gauntlets",4825.9,2460,8574,20,8,196.17479674797
"Berserker's Gladiator Gauntlets",3106.25,2829,6985,47,45,109.80028278544
"Rampager's Gladiator Gauntlets",2500.75,2831,6275,14,6,88.334510773578
"Valkyrie Gladiator Gauntlets",2446.75,2137,5395,23,13,114.49461862424
"Carrion Gladiator Chestplate",5011.75,3363,9855,65,12,149.0261671127
"Cleric's Gladiator Chestplate",4961.5,3035,9410,27,16,163.47611202636
"Berserker's Gladiator Chestplate",5701.65,2872,10089,28,27,198.5254178273
"Rampager's Gladiator Chestplate",5766.75,2727,9995,18,6,211.46864686469
"Knight's Gladiator Chestplate",5165.8,2897,9488,32,14,178.31549879185
"Valkyrie Gladiator Chestplate",3938.6,4301,9696,49,9,91.57405254592
"Carrion Gladiator Helm",2108.85,2888,5881,92,6,73.021121883656
"Cleric's Gladiator Helm",2847.25,2901,6765,28,20,98.147190623923
"Rampager's Gladiator Helm",3039.35,2901,6991,57,32,104.76904515684
"Knight's Gladiator Helm",2089.85,2890,5861,50,48,72.313148788927
"Ravaging Gladiator Pauldrons",4745.4,1546,7404,78,21,306.94695989651
"Rejuvenating Gladiator Pauldrons",2753.6,5384,9576,63,48,51.144130757801
"Honed Gladiator Pauldrons",2522.3,3339,6898,92,51,75.540581012279
"Vigorous Gladiator Pauldrons",3667.4,2726,7524,50,37,134.53411592076
"Hearty Gladiator Pauldrons",3739.55,6580,12143,157,53,56.832066869301
"Ravaging Gladiator Pauldrons",5913.3,1801,9078,29,27,328.33425874514
"Honed Gladiator Pauldrons",4133.1,4829,10546,89,62,85.58914889211
"Vigorous Gladiator Pauldrons",5582,4616,12000,57,23,120.92720970537
"Cleric's Gladiator Pauldrons",4550.15,4967,11199,35,24,91.607610227501
"Berserker's Gladiator Pauldrons",6451.35,4674,13091,27,13,138.02631578947
"Rampager's Gladiator Pauldrons",3840.5,1470,6250,61,7,261.25850340136
"Knight's Gladiator Pauldrons",7776.45,7094,17497,40,20,109.62010149422
"Ravaging Gladiator Legplates",2179.15,6063,9699,53,50,35.941777997691
"Honed Gladiator Legplates",3125.55,5086,9663,67,23,61.453991348801
"Strong Gladiator Legplates",2537.45,5057,8937,89,31,50.176982400633
"Vigorous Gladiator Legplates",3173,5053,9680,96,15,62.794379576489
"Hearty Gladiator Legplates",4067.65,7549,13669,146,21,53.883295800768
"Honed Gladiator Legplates",7583.85,4740,14501,55,16,159.99683544304
"Carrion Gladiator Legplates",6694.65,7744,16989,30,10,86.449509297521
"Valkyrie Gladiator Legplates",12576.3,7735,23898,38,12,162.58952811894
"Rampager's Gladiator Legplates",3163.6,6011,10796,22,19,52.630178006987
"Knight's Gladiator Legplates",12153.8,8251,24008,60,29,147.30093322022
"Honed Gladiator Boots",2634.5,3305,6990,59,32,79.712556732224
"Strong Gladiator Boots",3717.85,2112,6861,65,57,176.03456439394
"Vigorous Gladiator Boots",3089.55,3303,7523,29,25,93.537693006358
"Hearty Gladiator Boots",5710.5,6604,14490,118,17,86.470321017565
"Ravaging Gladiator Boots",3381.1,2640,7086,34,28,128.07196969697
"Vigorous Gladiator Boots",2226.6,3140,6316,53,47,70.910828025478
"Valkyrie Gladiator Boots",3923.4,4561,9984,21,16,86.020609515457
"Rampager's Gladiator Boots",3644.15,1861,6479,25,9,195.81676518001
"Knight's Gladiator Boots",10535.2,5521,18892,32,21,190.82050353197
"Ravaging Gladiator Gauntlets",2409.65,3512,6969,34,26,68.611902050114
"Hearty Gladiator Gauntlets",5500.3,6396,13998,112,29,85.99593495935
"Ravaging Gladiator Gauntlets",6127.5,3263,11050,16,7,187.7873122893
"Vigorous Gladiator Gauntlets",8002.25,3628,13685,81,25,220.56918412348
"Carrion Gladiator Gauntlets",5365,3201,10080,21,15,167.60387378944
"Cleric's Gladiator Gauntlets",11606.15,7261,22199,42,8,159.84230822201
"Berserker's Gladiator Gauntlets",14280.3,7051,25098,18,17,202.52871933059
"Rampager's Gladiator Gauntlets",5669.5,4095,11490,33,12,138.44932844933
"Ravaging Gladiator Chestplate",3457.85,4089,8881,40,16,84.564685742235
"Rejuvenating Gladiator Chestplate",3640.35,4323,9371,41,21,84.208882720333
"Honed Gladiator Chestplate",3088,5189,9740,68,32,59.510502987088
"Vigorous Gladiator Chestplate",3272.9,5135,9894,70,15,63.737098344693
"Hearty Gladiator Chestplate",4837.3,7059,13998,131,21,68.526703499079
"Ravaging Gladiator Chestplate",3319.5,5034,9830,38,28,65.941597139452
"Rejuvenating Gladiator Chestplate",3128.65,5700,10389,30,8,54.888596491228
"Honed Gladiator Chestplate",6277.95,5677,14067,78,19,110.58569667078
"Vigorous Gladiator Chestplate",6202.25,5428,13685,55,32,114.26400147384
"Berserker's Gladiator Chestplate",3483,5083,10080,49,39,68.522526067283
"Ravaging Gladiator Helm",2410.85,2654,5961,87,49,90.838357196684
"Vigorous Gladiator Helm",2409.75,2735,6055,18,12,88.107861060329
"Hearty Gladiator Helm",2588.9,5632,9674,138,74,45.967684659091
"Honed Gladiator Helm",2696.3,3250,6998,56,35,82.963076923077
"Cleric's Gladiator Helm",7302,10461,20900,33,20,69.802122168053
"Berserker's Gladiator Helm",9458.15,6689,18999,65,35,141.39856480789
"Valkyrie Gladiator Helm",5593.2,5227,12732,27,13,107.00593074421
"Knight's Gladiator Helm",2719.3,5794,10018,62,47,46.933034173283
"Strong Acolyte Boots",2136.3,1515,4298,193,20,141.0099009901
"Hearty Acolyte Coat",2385.1,1256,4286,422,6,189.89649681529
"Ravaging Acolyte Coat",2824.05,806,4273,463,9,350.37841191067
"Ravaging Acolyte Coat",2174.75,1304,4095,98,12,166.77530674847
"Strong Acolyte Coat",2914.5,764,4330,551,24,381.47905759162
"Hearty Acolyte Coat",2581.65,892,4089,446,20,289.42264573991
"Vigorous Acolyte Coat",2587.1,867,4066,536,50,298.3967704729
"Strong Acolyte Pants",4477.9,1550,7094,238,54,288.89677419355
"Hearty Acolyte Pants",3179.7,1478,5482,160,35,215.13531799729
"Ravaging Acolyte Pants",3665.75,1428,5995,204,17,256.70518207283
"Healing Embroidered Coat",2090.8,1008,3648,135,41,207.42063492063
"Honed Acolyte Mask",2376,597,3500,154,17,397.98994974874
"Carrion Exalted Boots",12333.85,10445,26801,70,31,118.08377213978
"Cleric's Exalted Boots",4275.9,11102,18094,42,36,38.514682039272
"Berserker's Exalted Boots",9309.95,43003,61547,95,34,21.649536078878
"Knight's Exalted Boots",9258.15,34004,50899,29,18,27.226649805905
"Valkyrie Exalted Boots",10283.3,22693,38798,100,42,45.31485480104
"Carrion Masquerade Boots",7742.25,2290,11805,61,6,338.08951965066
