id,name,buy,sell,supply,demand
274,"Shiro's Greaves",9851,10585,116,142
275,"Honed Worn Chain Greaves",150,1108,44,667
276,"Berserker's Privateer Hat",188,519,150,465
277,"Carrion Cabalist Coat",106,406,113,535
278,"Berserker's Privateer Hat",76,118,100,179
279,"Carrion Cabalist Coat",305,319,148,272
280,"Precise Studded Coat",76,262,897,3602
281,"Carrion Cabalist Coat",185,240,805,512
282,"Berserker's Privateer Hat",88,138,249,249
283,"Honed Worn Scale Boots",194,297,137,647
284,"Berserker's Privateer Hat",93,95,1364,140
285,"Carrion Cabalist Coat",185,220,707,171
286,"Precise Studded Coat",66,100,247,1873
287,"Rampager's Cabalist Coat",250,420,104,727
288,"Honed Worn Scale Boots",182,269,346,445
289,"Berserker's Privateer Hat",0,113,1497,0
290,"Rampager's Cabalist Coat",106,393,108,104
291,"Carrion Privateer Hat",126,523,130,244
292,"Honed Worn Scale Boots",184,353,88,457
293,"Precise Studded Coat",117,317,443,1741
294,"Carrion Privateer Hat",82,800,223,68
295,"Rampager's Cabalist Coat",109,465,102,222
296,"Honed Worn Scale Boots",182,290,77,313
297,"Rampager's Sneakthief Sandals of the Centaur",10073,23068,23,107
298,"Rampager's Cabalist Coat",185,255,807,465
299,"Carrion Privateer Hat",78,114,117,253
300,"Vital Studded Coat",102,199,236,4088
301,"Rampager's Cabalist Coat",224,257,714,520
302,"Honed Worn Scale Boots",153,244,121,454
303,"Carrion Privateer Hat",93,98,652,200
304,"Vital Studded Coat",115,300,164,1611
305,"Shaman's Cabalist Coat",115,405,133,2407
306,"Shaman's Cabalist Coat",130,529,56,268
307,"Carrion Privateer Hat",99,100,2173,146
308,"Honed Worn Scale Boots",77,196,182,431
309,"Rampager's Privateer Hat",157,500,97,355
310,"Vital Studded Coat",101,399,131,14750
311,"Shaman's Cabalist Coat",200,270,163,50
312,"Rampager's Privateer Hat",87,109,85,53
313,"Shaman's Cabalist Coat",185,248,631,410
314,"Rampager's Reinforced Scale Boots",64,120,147,181
315,"Rampager's Privateer Hat",91,129,341,6
316,"Rampager's Sneakthief Sandals of Vampirism",27516,84750,20,126
317,"Shaman's Cabalist Coat",185,247,778,428
318,"Malign Studded Coat",121,196,747,12579
319,"Rampager's Privateer Hat",0,116,1074,0
320,"Rampager's Reinforced Scale Boots",71,140,198,625
321,"Rampager's Privateer Hat",100,120,1182,105
322,"Shaman's Privateer Hat",85,113,154,328
323,"Aidan's Boots",25005,39000,150,129
324,"Malign Studded Coat",102,320,129,1079
325,"Rampager's Reinforced Scale Boots",75,99,281,281
326,"Shaman's Privateer Hat",0,141,346,0
327,"Shaman's Privateer Hat",0,127,567,0
328,"Rampager's Reinforced Scale Boots",77,85,1355,2128
329,"Shaman's Privateer Hat",97,122,1217,307
330,"Malign Studded Coat",97,495,221,1177
331,"Shaman's Privateer Hat",0,104,1435,0
332,"Rampager's Reinforced Scale Boots",79,98,797,457
333,"Strong Studded Coat",165,819,191,1152
334,"Shaman's Sneakthief Sandals of the Traveler",28212,51505,32,91
335,"Mighty Worn Chain Greaves",42,129,540,8590
336,"Shaman's Sneakthief Sandals of the Flock",8547,19999,21,11
337,"Strong Studded Coat",238,647,167,912
338,"Malign Worn Chain Greaves",50,841,156,944
339,"Strong Swindler Coat",292,437,438,847
340,"Malign Worn Chain Greaves",87,127,200,3342
341,"Malign Worn Chain Greaves",64,349,195,1547
342,"Reyna's Boots",8555,11500,305,91
343,"Strong Swindler Coat",361,547,121,707
344,"Ravaging Worn Chain Greaves",130,284,118,442
345,"Ravaging Studded Coat",174,472,120,2578
346,"Ravaging Worn Chain Greaves",124,466,88,115
347,"Ravaging Worn Scale Boots",201,235,123,934
348,"Ravaging Studded Coat",149,444,43,1387
349,"Cleric's Sneakthief Sandals of the Traveler",21011,49910,48,102
350,"Ravaging Worn Scale Boots",162,260,92,204
351,"Ravaging Swindler Coat",300,380,91,1375
352,"Ravaging Worn Scale Boots",171,203,97,670
353,"Ravaging Swindler Coat",407,607,85,480
354,"Mighty Magician Coat of the Grove",325,468,716,1047
355,"Cleric's Sneakthief Sandals of the Dolyak",8570,58800,4,41
356,"Ravaging Worn Scale Boots",175,275,164,297
357,"Mighty Magician Coat of Vampirism",574,684,2085,914
358,"Honed Studded Coat",167,667,112,1209
359,"Strong Magician Coat of the Afflicted",568,768,401,1092
360,"Strong Magician Coat of the Flame Legion",655,1044,358,1995
361,"Honed Studded Coat",185,560,86,1814
362,"Strong Magician Coat of the Flock",798,950,234,411
363,"Ravaging Worn Scale Boots",67,236,79,270
364,"Ravaging Worn Scale Boots",85,147,185,296
365,"Zho's Boots",9470,14999,90,91
366,"Ravaging Magician Coat of the Lich",679,878,550,877
367,"Ravaging Magician Coat of Melandru",638,844,177,1535
368,"Strong Cabalist Coat of the Lich",485,1083,153,465
369,"Shaman's Reinforced Scale Boots",82,143,168,536
370,"Honed Swindler Coat",311,405,242,888
371,"Strong Cabalist Coat of the Traveler",569,1373,209,158
372,"Honed Swindler Coat",290,685,90,591
373,"Strong Cabalist Coat of the Lich",988,1254,93,383
374,"Shaman's Reinforced Scale Boots",75,100,89,388
376,"Ravaging Magician Coat of Vampirism",904,975,229,437
377,"Ravaging Studded Coat",163,662,320,1024
378,"Ravaging Cabalist Coat of the Dolyak",888,1082,133,1112
379,"Shaman's Reinforced Scale Boots",73,100,136,85
380,"Ravaging Cabalist Coat of Strength",813,1013,192,622
381,"Shaman's Reinforced Scale Boots",77,97,899,1151
383,"Ravaging Cabalist Coat of the Grove",776,1076,120,748
384,"Honed Cabalist Coat of the Eagle",716,1196,246,473
385,"Ravaging Studded Coat",135,508,81,1089
386,"Mighty Swindler Mask of the Eagle",127,299,587,2421
387,"Honed Cabalist Coat of Strength",759,1191,182,2042
388,"Mighty Swindler Mask of Dwayna",201,300,1058,4215
389,"Honed Cabalist Coat of the Flock",753,953,243,352
390,"Shaman's Reinforced Scale Boots",78,97,1471,282
391,"Ravaging Swindler Coat",421,519,124,979
392,"Strong Swindler Mask of Hoelbrak",283,526,117,2335
393,"Honed Cabalist Coat of Rage",333,833,154,132
394,"Ravaging Swindler Coat",361,400,97,772
395,"Mighty Worn Scale Boots of Vampirism",102,1051,274,3851
396,"Ravaging Cabalist Coat of Mercy",872,1172,157,462
397,"Strong Swindler Mask of Infiltration",221,420,330,706
398,"Berserker's Sneakthief Sandals of the Grove",3809,7385,227,127
399,"Ravaging Cabalist Coat of the Citadel",181,481,109,57
400,"Strong Swindler Mask of Rata Sum",223,519,299,1033
401,"Mighty Worn Scale Boots of Scavenging",430,1311,302,2289
402,"Ravaging Swindler Mask of Grenth",232,688,128,2050
403,"Berserker's Cabalist Coat of the Lich",427,1027,98,216
404,"Berserker's Cabalist Coat of the Traveler",0,479,129,0
405,"Strong Swindler Coat",394,600,104,1039
406,"Strong Worn Scale Boots of the Grove",168,343,568,1776
407,"Ravaging Swindler Mask of Rage",312,511,73,1792
408,"Strong Privateer Hat of Grenth",230,550,99,900
409,"Berserker's Cabalist Coat of Lyssa",459,557,132,2386
410,"Strong Swindler Coat",319,715,59,528
411,"Berserker's Cabalist Coat of Infiltration",251,272,1533,150
412,"Vatlaaw's Boots",9026,11497,199,85
413,"Carrion Cabalist Coat of the Pack",606,706,134,82
414,"Strong Privateer Hat of Mercy",457,849,93,2037
415,"Strong Worn Scale Boots of Hoelbrak",200,304,938,2202
416,"Strong Privateer Hat of the Dolyak",765,1053,81,524
417,"Strong Worn Scale Boots of Infiltration",178,249,278,288
418,"Carrion Cabalist Coat of Infiltration",206,514,130,249
419,"Strong Swindler Coat",660,1399,57,573
420,"Ravaging Swindler Mask of the Lich",271,519,139,745
421,"Carrion Cabalist Coat of Hoelbrak",444,542,214,421
422,"Strong Reinforced Scale Boots of the Pack",257,950,106,314
423,"Mighty Studded Boots",110,191,602,2818
424,"Carrion Cabalist Coat of Lyssa",230,275,766,176
425,"Carrion Cabalist Coat of the Dolyak",252,294,766,534
426,"Ravaging Privateer Hat of the Dolyak",208,499,116,1488
427,"Ravaging Privateer Hat of the Flame Legion",521,888,97,831
428,"Rampager's Cabalist Coat of Infiltration",321,420,165,119
429,"Strong Swindler Coat",805,1191,59,626
430,"Strong Reinforced Scale Boots of the Pack",157,357,96,101
431,"Ravaging Privateer Hat of the Traveler",773,968,80,562
432,"Rampager's Cabalist Coat of the Lich",295,395,156,1147
433,"Rampager's Cabalist Coat of Dwayna",223,232,600,331
434,"Ravaging Swindler Coat",382,482,342,832
435,"Honed Privateer Hat of the Grove",171,550,483,1035
436,"Strong Reinforced Scale Boots of the Flame Legion",133,213,133,140
437,"Honed Privateer Hat of Scavenging",249,635,120,1557
438,"Rampager's Cabalist Coat of Dwayna",243,270,531,387
439,"Honed Privateer Hat of the Citadel",785,955,102,558
440,"Berserker's Reinforced Scale Boots of the Centaur",125,395,2035,439
441,"Ravaging Swindler Coat",469,863,70,935
442,"Shaman's Cabalist Coat of Strength",166,570,190,8
443,"Shaman's Cabalist Coat of the Eagle",288,488,100,192
444,"Honed Privateer Hat of Balthazar",348,531,146,904
445,"Berserker's Reinforced Scale Boots of Grenth",0,378,286,0
446,"Ravaging Swindler Coat",794,1090,64,435
447,"Ravaging Privateer Hat of Rata Sum",784,1000,77,1782
448,"Shaman's Cabalist Coat of the Flock",223,285,954,335
449,"Shaman's Cabalist Coat of Balthazar",233,249,899,117
450,"Mighty Studded Boots",89,197,1018,866
451,"Ravaging Privateer Hat of the Flame Legion",293,560,121,1878
452,"Cleric's Cabalist Coat of the Afflicted",483,550,126,76
453,"Ravaging Swindler Coat",783,1169,73,522
454,"Cleric's Cabalist Coat of Hoelbrak",251,280,97,133
455,"Berserker's Privateer Hat of the Afflicted",193,508,176,195
456,"Berserker's Reinforced Scale Boots of the Pack",0,198,363,0
457,"Mighty Studded Boots",94,519,366,1310
458,"Cleric's Cabalist Coat of Dwayna",226,268,669,96
459,"Cleric's Cabalist Coat of the Pack",233,273,751,58
460,"Honed Swindler Coat",424,599,63,694
461,"Carrion Reinforced Scale Boots of the Eagle",0,199,85,0
462,"Berserker's Privateer Hat of the Afflicted",0,169,358,0
463,"Berserker's Privateer Hat of Balthazar",0,187,351,0
464,"Honed Swindler Coat",433,809,49,926
465,"Berserker's Reinforced Scale Boots of Vampirism",0,157,1191,0
466,"Berserker's Privateer Hat of Rata Sum",184,195,4230,1
467,"Ravaging Worn Scale Boots of the Dolyak",143,431,180,685
468,"Carrion Privateer Hat of the Citadel",180,680,109,359
469,"Strong Cabalist Coat of the Flame Legion",2797,9097,279,211
470,"Precise Studded Boots",72,168,826,3565
471,"Strong Cabalist Coat of the Afflicted",880,1398,599,336
472,"Carrion Privateer Hat of Divinity",0,192,585,0
473,"Honed Swindler Coat",836,1036,55,871
474,"Strong Cabalist Coat of Infiltration",1100,1495,236,115
475,"Ravaging Worn Scale Boots of Infiltration",167,527,126,869
476,"Carrion Privateer Hat of Strength",0,183,575,0
477,"Carrion Privateer Hat of Dwayna",0,192,9134,0
478,"Ravaging Cabalist Coat of the Centaur",4868,7551,237,137
479,"Ravaging Cabalist Coat of Infiltration",824,1543,299,613
480,"Strong Conjurer Chest of the Flock",759,2095,207,702
481,"Carrion Privateer Hat of Melandru",0,195,13847,0
482,"Ravaging Worn Scale Boots of Rage",171,398,214,211
483,"Honed Swindler Coat",223,622,105,320
484,"Ravaging Swindler Coat",393,575,79,904
485,"Ravaging Reinforced Scale Boots of the Eagle",183,278,179,244
486,"Rampager's Privateer Hat of Vampirism",0,159,474,0
487,"Berserker's Conjurer Chest of Rage",1061,2862,131,194
488,"Rampager's Privateer Hat of Balthazar",1,175,261,1
489,"Berserker's Conjurer Chest of the Centaur",2431,5525,62,168
490,"Berserker's Conjurer Chest of Strength",2613,2843,543,420
491,"Precise Studded Boots",86,170,657,2097
492,"Ravaging Reinforced Scale Boots of Hoelbrak",99,270,119,1
493,"Rampager's Privateer Hat of the Centaur",0,186,3790,0
494,"Ravaging Swindler Coat",489,1775,50,594
495,"Ravaging Conjurer Chest of Rata Sum",1086,1555,100,231
496,"Carrion Reinforced Scale Boots of Strength",133,324,76,231
497,"Rampager's Privateer Hat of the Pack",0,195,16825,0
498,"Carrion Conjurer Chest of the Flame Legion",934,1833,132,182
499,"Shaman's Privateer Hat of the Citadel",60,163,171,7
500,"Carrion Conjurer Chest of Dwayna",2596,3350,51,120
501,"Ravaging Swindler Coat",796,896,35,701
502,"Carrion Conjurer Chest of Vampirism",3229,3909,69,143
503,"Precise Studded Boots",58,329,128,370
504,"Carrion Reinforced Scale Boots of Rage",145,156,2353,103
505,"Carrion Conjurer Chest of Lyssa",2719,2798,610,322
506,"Shaman's Privateer Hat of Divinity",0,182,450,0
507,"Shaman's Privateer Hat of Divinity",0,186,3833,0
508,"Honed Conjurer Chest of Balthazar",1044,1845,183,355
509,"Ravaging Swindler Coat",389,650,75,390
510,"Ravaging Reinforced Scale Boots of Mercy",119,317,131,485
511,"Shaman's Privateer Hat of the Flame Legion",0,195,12836,0
512,"Rampager's Conjurer Chest of the Flame Legion",778,2031,108,168
513,"Vital Studded Boots",82,177,202,2348
514,"Rampager's Conjurer Chest of Infiltration",2443,4154,46,110
515,"Carrion Reinforced Scale Boots of Dwayna",0,188,313,0
516,"Cleric's Privateer Hat of the Citadel",0,165,463,0
517,"Berserker's Privateer Coat",302,602,100,269
518,"Rampager's Conjurer Chest of Lyssa",2209,2995,381,261
519,"Rampager's Conjurer Chest of Infiltration",2627,2809,398,274
520,"Cleric's Privateer Hat of Rata Sum",1,177,246,1
521,"Carrion Reinforced Scale Boots of Lyssa",0,177,1379,0
522,"Berserker's Privateer Coat",89,189,122,21
523,"Shaman's Conjurer Chest of the Grove",2529,4873,65,133
524,"Cleric's Privateer Hat of the Citadel",0,189,6209,0
525,"Cleric's Privateer Hat of the Lich",0,195,16846,0
526,"Shaman's Conjurer Chest of the Eagle",2449,2996,493,659
527,"Honed Reinforced Scale Boots of Hoelbrak",285,985,179,594
528,"Berserker's Privateer Coat",0,177,408,0
529,"Shaman's Conjurer Chest of Divinity",2686,2862,595,410
530,"Cleric's Conjurer Chest of the Eagle",2614,3400,72,138
531,"Cleric's Conjurer Chest of Scavenging",2226,2824,504,399
532,"Vital Studded Boots",88,285,148,1558
533,"Strong Privateer Hat of Infiltration",1185,2593,379,83
534,"Honed Reinforced Scale Boots of Melandru",138,296,154,353
535,"Strong Privateer Hat of the Lich",227,1087,954,190
536,"Honed Reinforced Scale Boots of the Flame Legion",124,309,147,238
537,"Berserker's Privateer Coat",112,123,1574,143
538,"Cleric's Conjurer Chest of the Traveler",2531,2731,656,627
540,"Strong Privateer Hat of Rage",504,939,229,409
541,"Berserker's Privateer Coat",0,117,1029,0
543,"Honed Reinforced Scale Boots of Scavenging",0,182,199,0
544,"Vital Studded Boots",75,299,82,1659
546,"Ravaging Privateer Hat of Divinity",210,1400,371,235
547,"Ravaging Privateer Hat of the Afflicted",347,800,403,309
548,"Rampager's Reinforced Scale Boots of the Grove",128,594,74,125
549,"Carrion Privateer Coat",252,652,102,733
550,"Strong Marauder Helm of Grenth",563,1698,165,310
551,"Mighty Country Boots",100,140,274,9947
552,"Berserker's Marauder Helm of Melandru",837,2000,291,108
553,"Rampager's Reinforced Scale Boots of the Afflicted",0,349,213,0
554,"Malign Studded Boots",74,155,183,2332
555,"Mighty Country Boots",140,160,531,5638
556,"Carrion Privateer Coat",99,113,283,173
557,"Berserker's Marauder Helm of the Grove",2401,2700,45,379
558,"Berserker's Marauder Helm of Dwayna",2459,2871,499,240
559,"Rampager's Reinforced Scale Boots of Rage",127,149,1162,6
560,"Ravaging Marauder Helm of Infiltration",332,1166,237,374
561,"Rampager's Reinforced Scale Boots of Melandru",0,169,2206,0
562,"Carrion Privateer Coat",106,127,135,117
563,"Malign Studded Boots",91,328,183,1921
564,"Carrion Marauder Helm of Rage",725,1125,235,58
565,"Berserker's Seer Boots of the Flock",18684,34676,48,116
566,"Carrion Marauder Helm of Divinity",2202,2966,83,86
567,"Carrion Privateer Coat",112,161,6665,296
568,"Ravaging Reinforced Scale Boots of the Lich",125,366,239,300
569,"Berserker's Seer Boots of the Citadel",4632,6900,91,66
570,"Carrion Privateer Coat",0,120,1449,0
571,"Berserker's Seer Boots of the Dolyak",4749,7282,497,102
572,"Carrion Marauder Helm of the Flock",2329,2806,101,84
573,"Ravaging Reinforced Scale Boots of Dwayna",0,770,80,0
574,"Carrion Marauder Helm of the Grove",2560,2735,504,236
575,"Rampager's Privateer Coat",180,779,82,363
576,"Zhed's Boots",42902,61719,106,128
577,"Honed Marauder Helm of Scavenging",408,1371,312,149
578,"Carrion Seer Boots of Dwayna",11527,28594,39,64
579,"Rampager's Marauder Helm of Infiltration",636,1521,529,327
580,"Shaman's Reinforced Scale Boots of Rata Sum",130,195,196,22
581,"Malign Studded Boots",88,316,106,1135
582,"Shaman's Reinforced Scale Boots of Lyssa",0,174,486,0
583,"Rampager's Marauder Helm of Infiltration",2210,3400,55,121
584,"Carrion Seer Boots of Infiltration",4711,7000,120,77
585,"Carrion Seer Boots of Balthazar",4704,7375,137,66
586,"Rampager's Marauder Helm of Balthazar",2201,2738,544,232
587,"Ogden's Boots",112337,131100,75,116
588,"Rampager's Privateer Coat",0,138,303,0
589,"Rampager's Privateer Coat",109,139,749,63
590,"Shaman's Reinforced Scale Boots of Infiltration",0,175,1732,0
591,"Rampager's Marauder Helm of Rata Sum",2547,2698,495,185
