Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin,Level,Rarity,Item Type
Recipe: Box of Assassin's Draconic Armor (Exotic),83161,40002,144900,69,13,207.89210539473,0,5,3
Recipe: Box of Rampager's Draconic Armor (Exotic),88841.85,30106,139941,76,14,295.09682455325,0,5,3
Recipe: Box of Knight's Draconic Armor (Exotic),127393.3,32301,187878,41,9,394.39429119841,0,5,3
Recipe: Satchel of Carrion Emblazoned Armor (Exotic),134248,40000,205000,77,6,335.62,0,5,3
Recipe: Satchel of Cleric's Emblazoned Armor (Exotic),101665.5,40002,166670,63,6,254.15104244788,0,5,3
Recipe: Satchel of Assassin's Emblazoned Armor (Exotic),122578.9,33304,183394,111,7,368.06059332212,0,5,3
Recipe: Extended Potion of Outlaw Slaying,14667,10831,30000,70,24,135.41685901579,0,5,3
Berserker's Masquerade Boots,4078.95,3303,8687,96,38,123.49227974569,80,4,0
Berserker's Masquerade Leggings,4973.1,3513,9986,79,21,141.56276686593,80,4,0
Knight's Feathered Vestments,1232.8,421,1948,1099,29,292.82660332542,80,3,0
Berserker's Noble Pants,5306.95,3112,9907,119,27,170.53181233933,80,4,0
Tray of Chocolate Bananas,781.5,517,1530,2788,603,151.16054158607,25,3,3
Tray of Orange Coconut Bars,1300.3,396,1998,909,125,328.35858585859,55,3,3
Giant Chocolate Raspberry Cake,1170.15,306,1739,453,120,382.40196078431,75,3,3
Tray of Mixed Berry Pies,682.3,589,1498,1940,485,115.84040747029,75,3,3
Tray of Chocolate Omnomberry Creams,4876.8,2557,8748,1049,143,190.72350410637,80,3,3
Tray of Omnomberry Cookies,5369,2534,9300,1217,104,211.87845303867,80,3,3
Tray of Spicy Chocolate Cookies,6381,2100,9980,830,21,303.85714285714,80,3,3
Feast of Pepper Steaks,9112.3,2614,13798,580,19,348.59602142311,25,3,3
Feast of Rosemary Roasted Meat,2038.75,522,3015,921,76,390.56513409962,40,3,3
Feast of Roast Meat with Braised Leeks,3060.15,1102,4899,969,75,277.69056261343,75,3,3
Feast of Fire Flank Steak,2388.2,1428,4492,1105,115,167.24089635854,80,3,3
Feast of Lotus Stirfry,5939.5,1921,9250,1209,97,309.18792295679,80,3,3
Feast of Fire Salsa,10831.05,6178,20013,1050,89,175.3164454516,80,3,3
Feast of Ghost Pepper Poppers,1374,1004,2800,1564,218,136.85258964143,80,3,3
Feast of Lotus Fries,2504.5,936,4050,1840,207,267.57478632479,80,3,3
Feast of Roasted Lotus Root,2888.9,1269,4894,1505,267,227.65169424744,80,3,3
Feast of Saffron Stuffed Mushrooms,658.75,270,1095,1844,440,243.98148148148,80,3,3
Feast of Truffle Sautee,2510,1313,4500,1522,174,191.16527037319,80,3,3
Pot of Kale Soup,2341.15,1056,3999,415,123,221.69981060606,40,3,3
Pot of Yam Soup,2169,804,3500,587,31,269.77611940299,40,3,3
Pot of Butternut Squash Soup,5433.45,3062,9997,549,60,177.44774657087,75,3,3
Pot of Fire Veggie Chili,4245.5,2136,7510,661,182,198.75936329588,80,3,3
Pot of Orrian Truffle and Meat Stew,7590.15,2607,11999,420,192,291.14499424626,80,3,3
Unidentified Brown Dye,8524.15,5736,16779,210,109,148.60791492329,0,4,4
Unidentified Blue Dye,3734.35,2121,6891,731,163,176.06553512494,0,3,4
Unidentified Brown Dye,1705.8,1257,3488,1085,182,135.70405727924,0,3,4
Unidentified Green Dye,3648.2,2038,6692,442,90,179.00883218842,0,3,4
Unidentified Orange Dye,4413.55,1520,6983,500,83,290.36513157895,0,3,4
Unidentified Purple Dye,2001.15,1821,4499,831,85,109.89291598023,0,3,4
Unidentified Yellow Dye,5447.9,1736,8454,460,38,313.81912442396,0,3,4
Unidentified Purple Dye,1557.9,1410,3494,1150,147,110.48936170213,0,2,4
Steel Greatsword Blade,966.15,510,1739,1441,465,189.44117647059,0,1,5
Darksteel Sword Hilt,1239.1,1008,2646,319,249,122.92658730159,0,1,5
Steel Mace Head,745.3,679,1678,1685,213,109.76435935199,0,1,5
Steel Shield Boss,747.45,608,1597,1262,561,122.93585526316,0,1,5
Steel Pistol Barrel,993.85,654,1941,1262,203,151.96483180428,0,1,5
Darksteel Horn,626.05,488,1313,1286,437,128.28893442623,0,1,5
Iron Horn,1046.65,642,1989,1142,292,163.02959501558,0,1,5
Wool Epaulet Padding,687.4,572,1484,1641,408,120.17482517483,0,1,5
Cotton Helm Strap,601.65,577,1389,1309,286,104.27209705373,0,1,5
Seasoned Harpoon,988.15,760,2059,1330,162,130.01973684211,0,1,5
Steel Splint Boot Casing,782.2,501,1512,2727,641,156.12774451098,0,1,5
Steel Splint Gauntlet Lining,855.45,415,1497,1852,208,206.13253012048,0,1,5
Steel Splint Helmet Lining,1318.5,813,2510,2503,180,162.17712177122,0,1,5
Silk Coat Panel,1661.45,1649,3897,2322,196,100.75500303214,0,1,5
Silk Shoe Upper,922.75,805,2035,2291,276,114.62732919255,0,1,5
Rugged Longcoat Padding,833.25,767,1885,1186,279,108.63754889179,0,1,5
Thick Longcoat Padding,929.25,535,1725,2635,484,173.69158878505,0,1,5
Ruby Mithril Ring of the Berserker,590.7,497,1282,1069,231,118.85311871227,80,3,15
Ruby Mithril Amulet of the Berserker,768.2,345,1312,354,291,222.66666666667,80,3,15
Beryl Mithril Amulet of the Valkyrie,4849.95,3722,10087,97,36,130.30494357872,80,4,15
Rampager's Destroyer Pike,134239.4,88904,262524,39,6,150.99365607847,80,5,18
Cleric's Krait Recurve Bow,3569.5,3305,8090,177,36,108.00302571861,80,4,18
Berserker's Krait Pilum,3509.3,2862,7498,46,42,122.61705101328,80,4,18
Rampager's Darksteel Plated Inscription,5042.3,2060,8358,1095,104,244.77184466019,65,3,5
Rejuvenating Intricate Wool Insignia,4703.3,3776,9978,551,36,124.55773305085,35,4,5
Vigorous Intricate Cotton Insignia,1470.3,1416,3398,880,160,103.83474576271,50,4,5
Heavy Bag of Coins,97497,30001,150000,3702,12,324.97916736109,0,3,4
Tang Dye,1025.75,1008,2395,2161,178,101.76091269841,0,2,3
Dewdrop Dye,4620.75,2003,7795,246,27,230.69146280579,0,3,3
Olive Tint Dye,1227.15,725,2299,1796,272,169.26206896552,0,2,3
Violet Breeze Dye,1838,1815,4300,432,95,101.26721763085,0,3,3
Persephone Dye,1233.3,803,2398,1874,312,153.58655043587,0,2,3
Spring Moss Dye,1087.95,1024,2487,1719,238,106.2451171875,0,2,3
Burning Ember,979.45,257,1457,1797,114,381.10894941634,0,3,16
Superior Rune of the Air,3278.3,1733,5898,1799,774,189.16907097519,60,5,17
Superior Rune of Balthazar,2482.3,1509,4698,3488,342,164.49966865474,60,5,17
Pact Harpoon Gun of Force,7574.2,6816,16932,20,13,111.12382629108,80,4,18
Carrion Verdant Blade of Air,4641,3432,9500,748,158,135.22727272727,80,4,18
Mystic Essence,45282.3,22714,79998,1125,64,199.35854539051,0,2,16
Major Rune of the Mad King,14092,9876,28200,136,78,142.68934791414,40,4,17
Recipe: Major Rune of the Mad King,2691.3,705,3998,1953,126,381.74468085106,0,4,3
Gift of Spiders,709875.15,650122,1599999,111,8,109.19106721508,40,5,5
Apothecary's Feathered Boots,2886.3,1700,5398,263,58,169.78235294118,80,3,0
Apothecary's Krait Battleaxe,3371.15,3001,7499,149,54,112.33422192602,80,4,18
Apothecary's Barbaric Pauldrons,1550.85,981,2981,156,26,158.08868501529,80,3,0
Apothecary's Krait Star,5446.45,2879,9797,91,19,189.17853421327,80,4,18
Apothecary's Prowler Coat,1212,486,2000,145,79,249.38271604938,80,3,0
Apothecary's Feathered Vestments,3544.3,2402,6998,410,52,147.55620316403,80,3,0
Apothecary's Krait Handgun,5405.6,2749,9596,61,13,196.63877773736,80,4,18
Apothecary's Barbaric Legplates,2170.85,1381,4181,441,40,157.19406227371,80,3,0
Apothecary's Elder Staff,1711.65,657,2789,109,82,260.52511415525,80,3,18
Apothecary's Krait Shooter,4942.3,2721,9018,70,41,181.63542815141,80,4,18
Apothecary's Barbaric Helm,1733,900,3100,242,61,192.55555555556,80,3,0
Apothecary's Prowler Mask,1354.15,683,2399,157,73,198.26500732064,80,3,0
Apothecary's Feathered Headpiece,4127.15,1820,6999,240,29,226.76648351648,80,3,0
Apothecary's Barbaric Gloves,1763,700,2900,150,30,251.85714285714,80,3,0
Apothecary's Krait Short Bow,3194.3,3007,7298,74,53,106.22879946791,80,4,18
Apothecary's Krait Warhammer,3017.25,3003,7085,184,42,100.47452547453,80,4,18
Apothecary's Mithril Mace,980,310,1520,60,31,316.12903225806,80,3,18
Apothecary's Barbaric Coat,1641.8,1508,3708,222,56,108.87267904509,80,3,0
Apothecary's Feathered Mantle,1529.8,583,2488,168,31,262.40137221269,80,3,0
Apothecary's Gladiator Boots,4635.15,3012,8999,54,21,153.88944223108,80,4,0
Apothecary's Krait Brazier,3195.35,2762,7011,43,24,115.68971759594,80,4,18
Apothecary's Barbaric Boots,1281.25,1084,2785,498,96,118.19649446494,80,3,0
Apothecary's Krait Whelk,3077,2871,7000,46,23,107.17520027865,80,4,18
Apothecary's Destroyer Pistol,129713.5,107766,279390,73,11,120.36588534417,80,5,18
Apothecary's Krait Machete,5121.15,3376,9999,229,34,151.69283175355,80,4,18
Light Consortium Breathing Mask Skin,38644.55,20006,69003,3403882,62,193.16480055983,0,3,3
Medium Consortium Breathing Mask Skin,45786.45,13709,69997,1655087,38,333.98825589029,0,3,3
Heavy Consortium Breathing Mask Skin,29658,17515,55500,1652499,26,169.3291464459,0,3,3
Light Island Shoulder Skin,7035.3,4011,12998,346,182,175.40014958863,0,3,3
Cavalier's Field Guide,2940,2923,6900,62,60,100.58159425248,80,4,15
Winter's Shelter Shield Skin,668279.15,265001,1097979,68,10,252.17985969864,0,4,3
Bowl of Blueberry Chocolate Chunk Ice Cream,582,368,1120,1592,403,158.15217391304,20,2,3
Giver's Masquerade Mask,3860.95,3011,8087,35,33,128.22816340086,80,4,0
Giver's Krait Battleaxe,10896,6102,20000,45,11,178.56440511308,80,4,18
Giver's Krait Machete,8347.8,4407,15008,320,37,189.42137508509,80,4,18
Giver's Krait Pilum,5854.9,3522,11034,46,14,166.23793299262,80,4,18
Giver's Krait Shell,11744.5,5245,19990,99,37,223.9180171592,80,4,18
Giver's Mithril Greatsword,8705,7868,19500,137,32,110.63802745297,80,4,18
Giver's Krait Recurve Bow,4680.85,2968,9001,30,25,157.71057951482,80,4,18
Giver's Krait Shooter,6385.15,2452,10399,146,24,260.40579119086,80,4,18
Giver's Krait Harpoon Gun,11880.35,5110,19991,65,12,232.49217221135,80,4,18
Giver's Krait Brazier,13497,3501,20000,65,12,385.51842330763,80,4,18
Giver's Krait Star,3911.75,2865,7975,44,41,136.53577661431,80,4,18
Giver's Krait Wand,4674.95,2979,9007,59,27,156.93017791205,80,4,18
Giver's Krait Crook,4971.15,3101,9499,59,31,160.30796517253,80,4,18
Rabid Verdant Mace,5682.65,2772,9949,48,16,205.0018037518,80,4,18
Soldier's Verdant Warhammer,5675.25,2742,9905,235,17,206.97483588621,80,4,18
Recipe: Satchel of Apothecary's Exalted Armor,66898,30000,114000,47,11,222.99333333333,0,5,3
Recipe: Satchel of Giver's Exalted Armor,179247,46001,265000,129,7,389.65892045825,0,5,3
Recipe: Box of Apothecary's Draconic Armor,88994.3,30002,139998,89,9,296.6278914739,0,5,3
Recipe: Box of Giver's Draconic Armor,79998,22000,120000,28,6,363.62727272727,0,5,3
Rhendak's Signet,266997.6,200497,549996,186,10,133.16787782361,80,5,15
Sentinel's Barbaric Boots,1369.75,783,2535,673,93,174.93614303959,80,3,0
Sentinel's Barbaric Coat,2055.4,683,3224,532,71,300.93704245974,80,3,0
Sentinel's Barbaric Helm,1296.65,681,2329,300,29,190.40381791483,80,3,0
Sentinel's Barbaric Legplates,2940,883,4500,172,65,332.95583238958,80,3,0
Sentinel's Barbaric Pauldrons,1103.8,584,1988,273,105,189.00684931507,80,3,0
Sentinel's Feathered Vestments,3155.5,1050,4950,913,24,300.52380952381,80,3,0
Sentinel's Feathered Pants,1183.85,583,2081,413,44,203.06174957118,80,3,0
Sentinel's Prowler Pants,3755.75,1185,5815,128,102,316.94092827004,80,3,0
Azurite Mithril Earring of the Sentinel,10059,3590,16060,155,141,280.19498607242,80,4,15
Sentinel's Krait Wand,3985.2,2891,8092,56,22,137.84849533034,80,4,18
Sentinel's Krait Recurve Bow,5205.2,3116,9792,122,18,167.04749679076,80,4,18
Sentinel's Elder Short Bow,1111.65,305,1669,76,36,364.47540983607,80,3,18
Sentinel's Pearl Carver,24979.9,23497,57034,60,49,106.31101842788,80,5,18
Sentinel's Krait Morning Star,3685.05,3107,7993,30,27,118.6047634374,80,4,18
Sentinel's Krait Pilum,3982.45,2898,8097,36,22,137.42063492063,80,4,18
Recipe: Plate of Frostgorge Clams,1473,650,2500,1609,636,226.61538461538,0,3,3
Recipe: Mushroom Loaf,2177.7,763,3462,1863,555,285.4128440367,0,3,3
Recipe: Plate of Spicy Herbed Chicken,2289.35,1118,4011,687,223,204.77191413238,0,3,3
Recipe: Bowl of Zesty Turnip Soup,1347.15,350,1999,2854,413,384.9,0,3,3
Sentinel's Cabalist Coat of Balthazar,1417.1,524,2286,663,43,270.43893129771,80,3,0
Sentinel's Conjurer Mantle of the Grove,1374.3,407,2098,230,52,337.66584766585,80,3,0
Sentinel's Pirate Coat of Infiltration,3028.9,2404,6394,601,69,125.99417637271,80,3,0
Sentinel's Banded Greaves of the Eagle,5944.5,3412,11010,187,7,174.22332942556,80,4,0
Sentinel's Banded Helm of the Grove,4217.3,3293,8838,142,34,128.06863042818,80,4,0
Sentinel's Banded Pauldrons of Dwayna,6094.5,4112,12010,147,13,148.21254863813,80,4,0
Sentinel's Conjurer Gloves of the Eagle,4330.75,3313,8995,106,19,130.71989133716,80,4,0
Sentinel's Conjurer Mask of the Lich,8155.9,3312,13494,41,13,246.25301932367,80,4,0
Sentinel's Conjurer Mantle of Balthazar,7908.85,3412,13321,177,6,231.79513481829,80,4,0
Sentinel's Dagger of Grawl Slaying,4331.8,3221,8888,110,22,134.48618441478,80,4,18
Sentinel's Hammer of Serpent Slaying,2987.2,2954,6992,93,16,101.12389979689,80,4,18
Sentinel's Sword of the Hydromancer,27458.05,8302,42073,167,23,330.74018308841,80,4,18
Sentinel's Torch of Restoration,3954,2844,8000,58,20,139.02953586498,80,4,18
Sentinel's Trident of Ice,9741.3,3005,14998,102,15,324.1697171381,80,4,18
Sentinel's Focus of Peril,33609.1,21270,64566,125,11,158.01175364363,80,5,18
Sentinel's Bow of Perception,29640.45,28614,68537,545,28,103.58723002726,80,5,18
Sentinel's Rifle of Water,59056.05,19204,92073,130,9,307.51952718184,80,5,18
Sentinel's Scepter of Perception,31180.15,28317,69999,210,12,110.11106402514,80,5,18
Sentinel's Torch of Restoration,30327,20671,60000,148,12,146.71278602874,80,5,18
Pile of Fused Metal Scrap,1484.2,1057,2992,873,131,140.41627246925,0,4,16
Jagged Fused Metal Scrap,1169,529,2000,1396,114,220.98298676749,0,4,16
Infinite Aetherized Tonic,646493,620005,1490000,58,7,104.2722236111,0,5,7
Recipe: Potent Master Tuning Crystal,58763,41535,118000,62,27,141.47827133743,0,4,3
Recipe: Celestial Emblazoned Boots,6337.8,3102,11108,415,189,204.31334622824,0,5,3
Recipe: Celestial Emblazoned Gloves,3600.95,2710,7427,354,336,132.87638376384,0,5,3
Recipe: Celestial Emblazoned Helm,4988.6,3336,9796,486,422,149.53836930456,0,5,3
Recipe: Celestial Emblazoned Pants,5102.15,3140,9699,621,234,162.48885350318,0,5,3
Recipe: Celestial Pearl Conch,502.75,426,1095,306,230,118.01643192488,0,5,3
Recipe: Celestial Pearl Rod,2935.95,808,4407,434,145,363.36014851485,0,5,3
Recipe: Celestial Pearl Broadsword,2685.9,2407,5994,216,197,111.5870378064,0,5,3
Recipe: Celestial Pearl Sabre,2242.1,702,3466,264,236,319.38746438746,0,5,3
Aetherized Harpoon Gun Skin,629079,181819,954000,59,7,345.99189303648,0,4,3
Tiny Watchwork Box,805.65,356,1369,1661,105,226.30617977528,0,1,4
Elegant Watchwork Box,1129.65,559,1989,3245,355,202.08407871199,0,1,4
Intricate Watchwork Box,784.8,410,1408,4622,227,191.41463414634,0,1,4
Ornate Watchwork Box,2596.3,1650,4998,2514,45,157.35151515152,0,1,4
Minor Rune of Exuberance,1608.35,1357,3491,122,83,118.52247605011,60,3,17
Major Rune of Tormenting,4029.75,3665,9055,257,109,109.95225102319,60,4,17
Satchel of Assassin's Emblazoned Armor,162077,80001,284800,21,6,202.59371757853,0,5,4
Assassin's Elder Staff,542.8,210,888,242,56,258.47619047619,80,3,18
Assassin's Krait Recurve Bow,5577,2921,10000,82,13,190.92776446422,80,4,18
Assassin's Krait Shooter,2735.05,2561,6233,143,67,106.79617336978,80,4,18
Shadewort of Dreams,596270.45,500310,1290097,17,14,119.18019827707,80,5,18
Violite Dye,127988.45,126667,299597,62,40,101.04324725461,0,4,3
Dreamthistle Rifle Skin,563079.15,370201,1097979,67,15,152.10092625358,0,4,3
Dreamthistle Trident Skin,969841,303032,1497500,10,9,320.04573774387,0,4,3
Dreamthistle Harpoon Gun Skin,400807,364191,900000,8,6,110.0540650373,0,4,3
Generous Wintersday Gift,68709.6,63511,155556,1130,20,108.18535371825,0,1,4
Recipe: Keeper's Harpoon Gun,3195.6,3174,7496,257,92,100.68052930057,0,6,3
Recipe: Keeper's Brazier,20296.15,5201,29999,324,35,390.23553162853,0,6,3
Recipe: Keeper's Guise,27121.15,6876,39999,263,25,394.43208260617,0,6,3
Recipe: Keeper's Visor,56713.65,15117,84509,257,34,375.16471522127,0,6,3
Recipe: Keeper's Bastion,29025.2,14231,50892,273,25,203.95755744501,0,6,3
Recipe: Keeper's Impaler,4472.15,3600,9499,263,44,124.22638888889,0,6,3
Recipe: Keeper's Claymore,71534.15,70073,166599,281,24,102.08518259529,0,6,3
Recipe: Keeper's Trident,12850,4301,20180,317,33,298.76772843525,0,6,3
Recipe: Keeper's Revolver,19526.7,5803,29802,264,24,336.49319317594,0,6,3
Recipe: Keeper's Greatbow,8341.15,6531,17499,266,44,127.7162762211,0,6,3
Recipe: Keeper's Reaver,10348,10050,24000,265,38,102.96517412935,0,6,3
Recipe: Keeper's Artifact,24310.55,10030,40403,294,39,242.37836490528,0,6,3
Recipe: Keeper's Wand,27377.9,15030,49894,292,26,182.15502328676,0,6,3
Recipe: Satchel of Zealot's Emblazoned Armor,7232.45,5003,14397,514,108,144.56226264241,0,5,3
Recipe: Zealot's Draconic Gauntlets,12479.1,3810,19166,61,38,327.53543307087,0,5,3
Recipe: Zealot's Draconic Pauldrons,5678.3,4603,12098,56,53,123.36085161851,0,5,3
Recipe: Zealot's Exalted Boots,7646.65,3902,13589,93,42,195.96745258842,0,5,3
Recipe: Zealot's Exalted Masque,15537.5,5702,24990,74,50,272.49210803227,0,5,3
Recipe: Zealot's Pearl Rod,1096,602,2000,169,132,182.05980066445,0,5,3
Recipe: Zealot's Pearl Quarterstaff,6584.6,5905,14696,107,96,111.50889077053,0,5,3
Recipe: Zealot's Pearl Shell,1295.15,402,1999,180,119,322.17661691542,0,5,3
Recipe: Sprocket Orichalcum Earring,1421.7,1213,3102,283,150,117.20527617477,0,5,3
Maintenance Oil Station,89990,80008,200000,23,18,112.47625237476,80,3,3
